implementation_location_province,buyer_name,Department,supplier_name,order_amount_zar
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),GOBAMAGEZA TRADING,2133441.56
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),GOLDAN EVE TRADING (PTY) LTD,2578110.98
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),GROWORK ENTERPRISE (PTY) LTD,1930787.01
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),HAPPY REST TRADING ENTERPRISE,1931484
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),HG CONSULTANT (PTY) LTD,2044945.31
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),HLANZY HOLDINGS,1029640.06
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),HLUBI TRADING CC,2539429.07
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),ICE BREAKER GENERAL TRADING,2579524.27
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),IKATI EZIKO TRADING CC,1732681.46
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),IKUDA,2254771.84
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),IKWEZI LOMSO t/a SYRABRITE,2290997.86
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),ILAWU TRAINING SAMILA CONSTRUCTION JV,2234340.55
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),ILIQHAYIYA TRADING (PTY) LTD,3222548.92
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),INDAWO YAM BUSINESS SOLUTIONS,2043563.65
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),INVESTOREX 28 (PTY) LTD,1633381.13
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),IXESIBE BUILDING CONSTRUCTION,1782163.57
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),IZWELIBANZI CAPITAL (PTY) LTD,949099.87
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),JBO HOLDINGS,925795.37
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),KAAZI PROPERTIES (PTY)LTD,2337634.62
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),KAMVA NOMAZIZI INVESTMENT (PTY) LTD,1900127.52
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),KBT Holdings Pty Ltd,2882706.06
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),KHANICRAFT,2411091.51
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),KHULANI SKILLS DEVELOPMENT CENTRE,1426264.39
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),KHUMZI INVESTMENTS (PTY) LTD,2642191.79
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),KHUTHALA CONSULTING PTY LTD,1845904.73
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),KLEAR VISIONS FOUNDATION,1723580.73
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),KM26 PROJECTS (PTY) LTD,2335227.26
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),KOL LOGISTICS,2847352.16
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),KONSTRUCT SGN (PTY) LTD,2412449.1
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),KUNGO PROJECTS,2672983.99
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),KUP'S TRADING (PTY)LTD,4066514.3
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),KWAKHIWE CONSTRUCTION,2078220.06
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),KWANDIE TRADING CC,1997649.12
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),KWANTANJANA TRADINGS (PTY) LTD,2958180.78
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),KWECHIBLO (PTY) LTD,1949017.64
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),L NGXABANI PROJECTS (PTY) LTD,2267244.86
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),LAKHAZA CONSTRUCTION CC,2171427.84
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),LAMBANO SAFETY WEAR AND EQUIPMENT (PTY) LTD,2018141.97
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),LATHITHA CONSTRUCTION AND SERVICES,1577969.42
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),LAUDE TRADING AND SERVICES,1499044.91
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),LBN TRADING ANTERPRISE (PTY) LTD,3206780.97
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),LELAM,3246455.55
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),LEPONDA TRADING (PTY) LTD,2093079.67
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),LF SETS INVESTMENT,1906991.61
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),LINAM02 PROJECTS (PTY) LTD,2346469.76
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),LINOTO DEVELOPERS CC,2071891.99
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),LIYATA CIVILS AND CONSTRUCTIONS,1045282.45
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),LIYEMA ADVERTISING & EVENTS PROMOTION,2308788.33
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),LOJA TRADING,2212965.44
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),LSI GENERAL TRADING LOGIS : S1863,1836598.53
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),LUCOB HOLDINGS,2303522.33
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),LUGEBHU HOLDINGS,2236903.05
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),LUMDA TRADING ENTERPRISES,2065085.44
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),LUNGISA AT WORK,2027113.72
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),LWANDLE & DUMA CC,1464533.37
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),M A T TRADING ENTERPRISE,1653425.44
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),MABOZELA TRADING AND ENTERPRISE,1952007.55
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),MADO CONTRACTORS (PTY)LTD,1346488.42
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),MAFINCELA TRADING,3087825.11
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),MANDILA TRADING (PTY) LTD,1545595.62
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),MANKANTSANA BUSINESS SERVICES,2491114.91
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),MAPUBO CONSULTING AND INVESTMENT (PTY) LTD,1454820.79
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),MASALAMAHLE TRADING CC,2171650.65
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),MASIBA AND SON TRADING,1867928.51
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),MATSHATHULA AGENCIES AND PROJECTS,2036699.72
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),MATSHAYA INVESTMENTS,1912394.8
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),MAYOLI TRADING ENTERPRISE,2145241.45
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),MBONZA ENTERPRISE,2043092.53
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),MERIDIAN HYGIENE (PTY) LTD,1731870.19
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),MIGCOBO INVESTMENTS PTY,2199167.45
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),MILANAM BUSINESS DEVELOPMENTS CC,1556278.79
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),MILISOKUHLE INVESTMENTS (PTY) LTD,1209388.39
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),MIXIFUSION(PTY) LTD,2499109.03
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),MKHIWA TRADING ENTERPRISE (allegations of poor quality),2615261.35
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),MLP HOSPITALITY SERVICES (PTY) LTD,2753459.99
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),MOPELIPA TRADING,1585982.95
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),MQK CIVILS & PROJECT MANAGERS (PTY) LTD,1483284.92
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),MQOQE CLEANING &TRADING ENTERPRISE,2392607.63
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),MSHENGU PROJECTS AND CONSULTANCY,2117831.16
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),MSIDWE (PTY) LTD,2329143.57
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),MTAWELANGA TRADING,3160567
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),MTHETHUYANDA TRADING ENTERPRISE,1787958.75
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),MTHOMKHULU PROJECTS,1561566.73
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),MTIKA JOTELA CONTRACTORS,1781187.53
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),MZUKS PROPERTIES,2011844.13
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),NAKEDE MANAGEMENT SERVICES,2723910.56
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),NAKO DELIVERY SERVICES (PTY) LTD,1946652.67
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),NALUBOKO (PTY) LTD,1911658.98
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),NCD HOLDINGS,1674279.86
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),NCILASHE HOSPITALITIES (PTY)LTD,665587.34
