implementation_location_province,buyer_name,Department,supplier_name,order_amount_zar
Eastern Cape,Eastern Cape Department of Safety and Liaison (DSL),Department of Safety and Liaison (DSL),East Coast Clothing,11040
Eastern Cape,Eastern Cape Department of Safety and Liaison (DSL),Department of Safety and Liaison (DSL),Emonti Medical Supplies,64782.25
Eastern Cape,Eastern Cape Department of Safety and Liaison (DSL),Department of Safety and Liaison (DSL),Mkhonto Trading t/a Eco Chemical Solutions,36235.8
Eastern Cape,Eastern Cape Department of Safety and Liaison (DSL),Department of Safety and Liaison (DSL),Rentokil Initial,27465.45
Eastern Cape,Eastern Cape Department of Safety and Liaison (DSL),Department of Safety and Liaison (DSL),DSRAC,231412.5
Eastern Cape,Eastern Cape Department of Safety and Liaison (DSL),Department of Safety and Liaison (DSL),Aluworks,58500
Eastern Cape,Eastern Cape Department of Safety and Liaison (DSL),Department of Safety and Liaison (DSL),MKHONTO WTHU TRADING,49507.5
Eastern Cape,Eastern Cape Department of Safety and Liaison (DSL),Department of Safety and Liaison (DSL),Pandulwazi Cleaning,51405
Eastern Cape,Eastern Cape Department of Safety and Liaison (DSL),Department of Safety and Liaison (DSL),The Paint Bull,72000
Eastern Cape,Eastern Cape Development Corporation (ECDC),Eastern Cape Development Corporation (ECDC),Eyamantlane Trading,47300
Eastern Cape,Eastern Cape Development Corporation (ECDC),Eastern Cape Development Corporation (ECDC),Nuticraft,28175
Eastern Cape,Eastern Cape Development Corporation (ECDC),Eastern Cape Development Corporation (ECDC),Slanko Global Trading,1323
Eastern Cape,Eastern Cape Provincial Arts and Culture Council (ECPACC),Eastern Cape Provincial Arts and Culture Council (ECPACC),IKAMVALESIZWE TRADERS,4500
Eastern Cape,Eastern Cape Provincial Arts and Culture Council (ECPACC),Eastern Cape Provincial Arts and Culture Council (ECPACC),VIRITRIM,13600
Eastern Cape,Eastern Cape Parks and Tourism Agency (ECPTA),Eastern Cape Parks and Tourism Agency (ECPTA),AMINA CHEM (PTY)LTD,31750
Eastern Cape,Eastern Cape Parks and Tourism Agency (ECPTA),Eastern Cape Parks and Tourism Agency (ECPTA),Amzluyo Enterprise,195400
Eastern Cape,Eastern Cape Parks and Tourism Agency (ECPTA),Eastern Cape Parks and Tourism Agency (ECPTA),Bidvest Steiner,35413.68
Eastern Cape,Eastern Cape Parks and Tourism Agency (ECPTA),Eastern Cape Parks and Tourism Agency (ECPTA),Damita Holdings,62500
Eastern Cape,Eastern Cape Parks and Tourism Agency (ECPTA),Eastern Cape Parks and Tourism Agency (ECPTA),Deep Clean services,26010
Eastern Cape,Eastern Cape Parks and Tourism Agency (ECPTA),Eastern Cape Parks and Tourism Agency (ECPTA),Drain surgeon,17105.74
Eastern Cape,Eastern Cape Parks and Tourism Agency (ECPTA),Eastern Cape Parks and Tourism Agency (ECPTA),Empire holdings,14500
Eastern Cape,Eastern Cape Parks and Tourism Agency (ECPTA),Eastern Cape Parks and Tourism Agency (ECPTA),Garret Assemblies,44780.86
Eastern Cape,Eastern Cape Parks and Tourism Agency (ECPTA),Eastern Cape Parks and Tourism Agency (ECPTA),Insight office furniture,17250
Eastern Cape,Eastern Cape Parks and Tourism Agency (ECPTA),Eastern Cape Parks and Tourism Agency (ECPTA),Just on cosmetics,15
Eastern Cape,Eastern Cape Parks and Tourism Agency (ECPTA),Eastern Cape Parks and Tourism Agency (ECPTA),MMA Enterprise,620
Eastern Cape,Eastern Cape Parks and Tourism Agency (ECPTA),Eastern Cape Parks and Tourism Agency (ECPTA),Red Alert,3450
Eastern Cape,Eastern Cape Parks and Tourism Agency (ECPTA),Eastern Cape Parks and Tourism Agency (ECPTA),Saffys Projects,21677.5
Eastern Cape,Eastern Cape Parks and Tourism Agency (ECPTA),Eastern Cape Parks and Tourism Agency (ECPTA),SM Sales,132329
Eastern Cape,Eastern Cape Parks and Tourism Agency (ECPTA),Eastern Cape Parks and Tourism Agency (ECPTA),Southern Horn,3100
Eastern Cape,Eastern Cape Parks and Tourism Agency (ECPTA),Eastern Cape Parks and Tourism Agency (ECPTA),St John,74175
Eastern Cape,Eastern Cape Rural Development Agency (ECRDA),Eastern Cape Rural Development Agency (ECRDA),Blue Cut Flora,1276231.45
Eastern Cape,Eastern Cape Rural Development Agency (ECRDA),Eastern Cape Rural Development Agency (ECRDA),Braemore Design,9775.5
Eastern Cape,Eastern Cape Rural Development Agency (ECRDA),Eastern Cape Rural Development Agency (ECRDA),Budget Pest Control,6191.4
Eastern Cape,Eastern Cape Rural Development Agency (ECRDA),Eastern Cape Rural Development Agency (ECRDA),Chem Ex,36989.68
Eastern Cape,Eastern Cape Rural Development Agency (ECRDA),Eastern Cape Rural Development Agency (ECRDA),Copy World,47765.8
Eastern Cape,Eastern Cape Rural Development Agency (ECRDA),Eastern Cape Rural Development Agency (ECRDA),Die Humansdorpse Kooperasie,2093000
Eastern Cape,Eastern Cape Rural Development Agency (ECRDA),Eastern Cape Rural Development Agency (ECRDA),Epukanini,44056.62
Eastern Cape,Eastern Cape Rural Development Agency (ECRDA),Eastern Cape Rural Development Agency (ECRDA),Ikwezi Signs CC,56925.25
Eastern Cape,Eastern Cape Rural Development Agency (ECRDA),Eastern Cape Rural Development Agency (ECRDA),Jericho Recovery Centre,11500
Eastern Cape,Eastern Cape Rural Development Agency (ECRDA),Eastern Cape Rural Development Agency (ECRDA),Pick n Pay,4197
Eastern Cape,Eastern Cape Rural Development Agency (ECRDA),Eastern Cape Rural Development Agency (ECRDA),Signs4SA,66046.28
Eastern Cape,Eastern Cape Rural Development Agency (ECRDA),Eastern Cape Rural Development Agency (ECRDA),Zebra Solutions,2327.6
Eastern Cape,Eastern Cape Socio-Economic Consultative Council (ECSECC),Eastern Cape Socio-Economic Consultative Council (ECSECC),URBAN ODYSSEY,15005
Eastern Cape,Eastern Cape Gambling Board (ECGB),Eastern Cape Gambling Board (ECGB),Guleni Projects,2750
Eastern Cape,Eastern Cape Gambling Board (ECGB),Eastern Cape Gambling Board (ECGB),Marograph,25850
Eastern Cape,Eastern Cape Gambling Board (ECGB),Eastern Cape Gambling Board (ECGB),Ndamu General Supplier CC,1000
Eastern Cape,East London Industrial Development Zone (ELIDZ),East London Industrial Development Zone (ELIDZ),Bravo Afrika Holdings pty ltd,25462.5
Eastern Cape,East London Industrial Development Zone (ELIDZ),East London Industrial Development Zone (ELIDZ),EBN-TEC Compliance And Performance Training Services,26000
Eastern Cape,East London Industrial Development Zone (ELIDZ),East London Industrial Development Zone (ELIDZ),Falcon Sheq Consulting(pty)ltd,3400
Eastern Cape,East London Industrial Development Zone (ELIDZ),East London Industrial Development Zone (ELIDZ),Harry's Printers,20383
Eastern Cape,East London Industrial Development Zone (ELIDZ),East London Industrial Development Zone (ELIDZ),Kempston Cleaning Service,449487.6
Eastern Cape,East London Industrial Development Zone (ELIDZ),East London Industrial Development Zone (ELIDZ),Khazimla Agencies,4680
Eastern Cape,East London Industrial Development Zone (ELIDZ),East London Industrial Development Zone (ELIDZ),KNOWRES (PTY) LTD,3500
Eastern Cape,East London Industrial Development Zone (ELIDZ),East London Industrial Development Zone (ELIDZ),Lasec Pty,1350
Eastern Cape,East London Industrial Development Zone (ELIDZ),East London Industrial Development Zone (ELIDZ),Legricon ( PTY) LTD,52800
Eastern Cape,East London Industrial Development Zone (ELIDZ),East London Industrial Development Zone (ELIDZ),Libra Trading T/A Falcon Trading Company,845.2
Eastern Cape,East London Industrial Development Zone (ELIDZ),East London Industrial Development Zone (ELIDZ),Nkqubela Community Developers,460900
Eastern Cape,East London Industrial Development Zone (ELIDZ),East London Industrial Development Zone (ELIDZ),Occupational Injuries Solutions,185499
Eastern Cape,East London Industrial Development Zone (ELIDZ),East London Industrial Development Zone (ELIDZ),Steiner Hygeine,475092.03
Eastern Cape,East London Industrial Development Zone (ELIDZ),East London Industrial Development Zone (ELIDZ),Total Laboratory Technology cc,7600
Eastern Cape,Eastern Cape Legislature,Eastern Cape Legislature,Adonhanise,28650
Eastern Cape,Eastern Cape Legislature,Eastern Cape Legislature,ATZ Marketing,29000
Eastern Cape,Eastern Cape Legislature,Eastern Cape Legislature,Bidvest Steiner,119784
Eastern Cape,Eastern Cape Legislature,Eastern Cape Legislature,CBT Connet,39500
Eastern Cape,Eastern Cape Legislature,Eastern Cape Legislature,Compass Waste,188386.56
Eastern Cape,Eastern Cape Legislature,Eastern Cape Legislature,LINOTO DEVELOPERS CC,28704
Eastern Cape,Eastern Cape Legislature,Eastern Cape Legislature,Loponta,85700
Eastern Cape,Eastern Cape Legislature,Eastern Cape Legislature,Owamathala Enterprises,325000
Eastern Cape,Eastern Cape Legislature,Eastern Cape Legislature,Red Alert,120250
Eastern Cape,Eastern Cape Legislature,Eastern Cape Legislature,Symo Industries,281770
Eastern Cape,Eastern Cape Legislature,Eastern Cape Legislature,Za Majola,462686.85
Eastern Cape,Mayibuye Transport Corporation (MTC),Mayibuye Transport Corporation (MTC),Agile Minds,241031
Eastern Cape,Mayibuye Transport Corporation (MTC),Mayibuye Transport Corporation (MTC),Alutime (Pty) Ltd,181500
Eastern Cape,Mayibuye Transport Corporation (MTC),Mayibuye Transport Corporation (MTC),AMINA CHEM (PTY)LTD,15737.8
Eastern Cape,Mayibuye Transport Corporation (MTC),Mayibuye Transport Corporation (MTC),Amzluyo Enterprise,310970
Eastern Cape,Mayibuye Transport Corporation (MTC),Mayibuye Transport Corporation (MTC),Chemex Industrial Chemicals,52572.25
Eastern Cape,Mayibuye Transport Corporation (MTC),Mayibuye Transport Corporation (MTC),Empire holdings,141536.25
Eastern Cape,Mayibuye Transport Corporation (MTC),Mayibuye Transport Corporation (MTC),HLCB Holdings,19000
Eastern Cape,Mayibuye Transport Corporation (MTC),Mayibuye Transport Corporation (MTC),Innovo Networks,7500
Eastern Cape,Mayibuye Transport Corporation (MTC),Mayibuye Transport Corporation (MTC),Office Incorporated,16738.03
Eastern Cape,Mayibuye Transport Corporation (MTC),Mayibuye Transport Corporation (MTC),SALAISO SUPPLIERS,207433.74
Eastern Cape,Mayibuye Transport Corporation (MTC),Mayibuye Transport Corporation (MTC),Sbosh Tradings,28422.8
Eastern Cape,Mayibuye Transport Corporation (MTC),Mayibuye Transport Corporation (MTC),SPICE J GENERAL TRADING (PTY) LTD,18900
Eastern Cape,Mayibuye Transport Corporation (MTC),Mayibuye Transport Corporation (MTC),Stationers and branding,21592
Eastern Cape,Mayibuye Transport Corporation (MTC),Mayibuye Transport Corporation (MTC),TIME Clothing,11661
Eastern Cape,Eastern Cape Office of the Premier,Eastern Cape Office of the Premier,Guleni Projects,28800
Eastern Cape,Eastern Cape Office of the Premier,Eastern Cape Office of the Premier,MEDICORE,32000
Eastern Cape,Eastern Cape Office of the Premier,Eastern Cape Office of the Premier,Morale Cleaning Services,85500
Eastern Cape,Eastern Cape Office of the Premier,Eastern Cape Office of the Premier,Nondabula Services and supplies,113000
Eastern Cape,Eastern Cape Office of the Premier,Eastern Cape Office of the Premier,Pick n Pay,3300
Eastern Cape,Eastern Cape Provincial Treasury,Eastern Cape Provincial Treasury,Beloved Ventures Trading,29250
Eastern Cape,Eastern Cape Provincial Treasury,Eastern Cape Provincial Treasury,Fiznef Trading 10 t/a The Specialists Cc,39684.23
Eastern Cape,Eastern Cape Provincial Treasury,Eastern Cape Provincial Treasury,Ngcaku Cleaning and Projects,28000
Eastern Cape,Eastern Cape Provincial Treasury,Eastern Cape Provincial Treasury,Ngqutura Transport Services Cc,11338.08
Eastern Cape,Eastern Cape Provincial Treasury,Eastern Cape Provincial Treasury,TECMED (Pty) Ltd,33014.74
Eastern Cape,Eastern Cape Provincial Treasury,Eastern Cape Provincial Treasury,The Specialists,32679.33
Eastern Cape,Eastern Cape Provincial Treasury,Eastern Cape Provincial Treasury,Zamulwazi Clothing Manufacturers-Primary Co-opratives,31500
Eastern Cape,Eastern Cape Provincial Treasury,Eastern Cape Provincial Treasury,ZONDIPHASE,266000
Eastern Cape,Eastern Cape Department of Social Development (DSD),Eastern Cape Department of Social Development (DSD),ABC AND Z TRADING,29750
Eastern Cape,Eastern Cape Department of Social Development (DSD),Eastern Cape Department of Social Development (DSD),BIOLOGICA PHARMACEUTICALS,133250
Eastern Cape,Eastern Cape Department of Social Development (DSD),Eastern Cape Department of Social Development (DSD),BRAVOPLEX 532,11990
Eastern Cape,Eastern Cape Department of Social Development (DSD),Eastern Cape Department of Social Development (DSD),CENTRAL MEDICAL,30000
Eastern Cape,Eastern Cape Department of Social Development (DSD),Eastern Cape Department of Social Development (DSD),FUNDAM A TRADING AND RECYCLING,296000
Eastern Cape,Eastern Cape Department of Social Development (DSD),Eastern Cape Department of Social Development (DSD),KARITA SERVICES,1232500
Eastern Cape,Eastern Cape Department of Social Development (DSD),Eastern Cape Department of Social Development (DSD),LELETHU BAFAZI PRIMARY CO-OPERATIVE LIMITED,16650
Eastern Cape,Eastern Cape Department of Social Development (DSD),Eastern Cape Department of Social Development (DSD),MASIMINI SOLUTIONS,11865.25
Eastern Cape,Eastern Cape Department of Social Development (DSD),Eastern Cape Department of Social Development (DSD),NONTEMBEKO HANDCRAFTS CO-OPERATIVE LIMITED,3250
Eastern Cape,Eastern Cape Department of Social Development (DSD),Eastern Cape Department of Social Development (DSD),NUTIGEN,15997.65
Eastern Cape,Eastern Cape Department of Social Development (DSD),Eastern Cape Department of Social Development (DSD),ONE-LEVER SEWING / EMBROIDERY AND BEADSWORK WORKER,16650
Eastern Cape,Eastern Cape Department of Social Development (DSD),Eastern Cape Department of Social Development (DSD),PHINDILE AMIR MPAYIPELI,13340
Eastern Cape,Eastern Cape Department of Social Development (DSD),Eastern Cape Department of Social Development (DSD),PHUHLISO GQUGQUGQU SEWING AND MULTIPURPOSE PRIMARY CO-OPERATIVE LIMITED,41210
Eastern Cape,Eastern Cape Department of Social Development (DSD),Eastern Cape Department of Social Development (DSD),PIRIS AND PAROS GENERAL TRADING,3000
Eastern Cape,Eastern Cape Department of Social Development (DSD),Eastern Cape Department of Social Development (DSD),PROVINCIAL WESTBOURNE PHARMACY,28500
Eastern Cape,Eastern Cape Department of Social Development (DSD),Eastern Cape Department of Social Development (DSD),SENZAKAKUHLE TRADING,29880
Eastern Cape,Eastern Cape Department of Social Development (DSD),Eastern Cape Department of Social Development (DSD),SINOZINTO MULTIPURPOSE PRIMARY CO-OPERATIVE LIMITED,27500
Eastern Cape,Eastern Cape Department of Social Development (DSD),Eastern Cape Department of Social Development (DSD),YENZANI BAFAZI PRIMARY CO-OPERATIVE LIMITED,15984
Eastern Cape,Eastern Cape Department of Social Development (DSD),Eastern Cape Department of Social Development (DSD),YIZANISAKHE TEXTILE PRIMARY CO-OPERATIVE LIMITED,52590.4
Eastern Cape,Eastern Cape Department of Social Development (DSD),Eastern Cape Department of Social Development (DSD),ZEKAKUHLE PRIMARY CO-OPERATIVE LIMITED,24250
Eastern Cape,Eastern Cape Department of Social Development (DSD),Eastern Cape Department of Social Development (DSD),ZONDIPHASE,1844708
