Region / Office,"Date of
Purchase",Name of Supplier,Description of Items,Unit price,Quantities,Total Amount,"Branding other than
Supplier Name that
appeared on items"
DPP Limpopo,3/25/2020,RAZA BROARDWAY SUPERMARKET,SAVLON ANTISEPIC 2LT,R         130.00,3,R                               390.00,None
DPP Limpopo,3/25/2020,RAZA BROARDWAY SUPERMARKET,ANGEL SPIRITS 750ML,R           20.00,2,R                                 40.00,None
DPP Limpopo,3/25/2020,RAZA BROARDWAY SUPERMARKET,JUMBO PLASTIC BENJI,R             2 .00,1,R                                   2.00,None
DPP Limpopo,3/25/2020,CHARMERS,PLASTIC BAG,R             1 .00,1,R                                   1.00,None
DPP Limpopo,3/25/2020,CHARMERS,SPRAY BOTTLE,R             6 .00,2,R                               120.00,None
DPP Limpopo,3/25/2020,CHARMERS,SPRAY BOTTLE,R             6 .00,4,R                                 24.00,None
DPP Limpopo,3/25/2020,CHARMERS,PLASTIC BAG,R             1 .00,1,R                                   1.00,None
DPP Limpopo,3/25/2020,PICK N PAY,SPIRIT VINEGAR WHITE,R           24.99,1,R                                 24.99,None
DPP Limpopo,3/25/2020,PICK N PAY,VINEGAR SPIRIT,R           17.99,1,R                                 17.99,None
DPP Limpopo,3/25/2020,PICK N PAY,DISHWASHER,R           99.99,2,R                               199.98,None
DPP Limpopo,3/25/2020,PICK N PAY,THIN BLEACH LEMON,R           45.99,3,R                               137.97,None
DPP Limpopo,3/25/2020,PICK N PAY,VINEGAR GRAPE,R           31.99,1,R                                 31.99,None
DPP Limpopo,4/15/2020,Mathosim Trimiming and Upholstery,reusable masks,R           52.00,120,"R                            6,240.00",None
DPP Limpopo,4/16/2020,The Inspired Bunny,reusable masks,R           40.00,56,"R                            2,240.00",None
DPP Limpopo,4/28/2020,The Inspired Bunny,reusable masks,R           40.00,100,"R                            4,000.00",None
DPP Limpopo,5/5/2020,THE INSPIRED BUNNY,2 PLY REUSABLE MASK,R           40.00,56,"R                            2,240.00",None
DPP Limpopo,5/20/2020,ZAUKHAKHATA TRADING AND PROJECTS,RE-USABLE FACE MASKS - LIMPOPO,,,"R                            8,352.00",None
DPP Limpopo,5/25/2020,ARK PRINTERS AND STATIONERS,SANITIZERS x 261  - DPP LIMPOPO,,,"R                         79,605.00",None
DPP Limpopo,12/5/2020,MATHOSIM TRIMIMING AND UPHOLSTERY,FACE SHIELD MASK,R           40.00,100,"R                            4,000.00",None
DPP LIMPOPO,6/1/2020,Decontimination of offices,Decontamination,0,0,"R                         14,000.00",None
DPP Limpopo,5/28/2020,LUX CHEM,SANITIZA UNIT,R         650.00,2,"R                            1,300.00",None
DPP Limpopo,5/28/2020,LUX CHEM,COURIER CHARGE,R         350.00,2,R                               700.00,None
DPP MMABATHO,5/1/2020,Decontimination of offices,Decontamination,0,0,"R                         20,840.33",None
DPP MMABATHO,7/1/2020,Decontimination of offices,Decontamination,0,0,"R                         41,680.66",None
DPP Mmabatho,5/18/2020,AFRICAN PONCHO,RE-USABLE FACE MASKS - DPP MMABATHO,,,"R                            8,250.00",None
DPP Mmabatho,5/25/2020,ENKAY TRADING,SANITIZERS x 165 - DPP MMABATHO,,,"R                          44,550.00",None
DPP Mmabatho,6/8/2020,PERMAX MANUFACTURING,TEMPERATURE SCANNERS x 6,,,"R                            8,400.00",None
DPP Mpumalanga,3/24/2020,Clicks Pharmacy,osh tropical whc 90ml,R           17.99,3,R                                 53.97,None
DPP Mpumalanga,3/24/2020,Clicks Pharmacy,osh wonder whc 90ml,R           17.99,6,R                               107.94,None
DPP Mpumalanga,3/24/2020,Clicks Pharmacy,wl hand cleanser 90ml,R           19.99,6,R                               119.94,None
DPP Mpumalanga,3/24/2020,Clicks Pharmacy,osh co pom whc 90ml,R           18.99,9,R                               170.91,None
DPP Mpumalanga,3/24/2020,Clicks Pharmacy,osh hh w/l h/clrn 60ml,R           11.99,15,R                               179.85,None
DPP Mpumalanga,3/24/2020,Clicks Pharmacy,osh helping hand 60ml,R           11.99,45,R                               539.55,None
DPP Mpumalanga,3/24/2020,Michem Cleaning Supplies,plastic bottle 750ml,R             4 .00,8,R                                 30.40,None
DPP Mpumalanga,3/24/2020,Michem Cleaning Supplies,trigger red,R             7 .75,8,R                                 58.90,None
DPP Mpumalanga,3/24/2020,Michem Cleaning Supplies,Anti Bac Foam hand sanitizer,R           90.85,7,R                               604.22,None
DPP Mpumalanga,3/24/2020,Michem Cleaning Supplies,Synbac,R         129.44,9,"R                            1,106.71",None
DPP Mpumalanga,3/24/2020,Mopani Pharmacy,gloves nitrile p/f iltra,R           94.90,12,"R                            1,138.80",None
DPP Mpumalanga,3/25/2020,Michem Cleaning Supplies,plastic bottle 750ml,R             6 .13,8,R                                 46.99,None
DPP Mpumalanga,3/25/2020,Michem Cleaning Supplies,trigger white,R             7 .75,8,R                                 58.90,None
DPP Mpumalanga,3/25/2020,Michem Cleaning Supplies,Anti Bac Foam hand sanitizer,R           90.86,6,R                               517.90,None
DPP Mpumalanga,3/31/2020,Mopani Pharmacy,Aloe Unique Hand cleanser 100ml,R           32.90,20,R                               658.00,None
DPP Mpumalanga,3/31/2020,SuperSpar Crossings,Twinsaver Hand wipes,R           29.99,15,R                               449.85,None
DPP Mpumalanga,4/1/2020,Mopani Pharmacy,Aloe Unique Hand cleanser 100ml,R           32.90,15,R                               493.50,None
DPP Mpumalanga,4/1/2020,Spar Courtside,Toilet Paper white 2p 18's,R           89.99,1,R                                 89.99,None
DPP Mpumalanga,4/1/2020,SuperSpar Crossings,Twinsaver Hand wipes,R           29.99,15,R                               449.85,None
DPP Mpumalanga,4/17/2020,Sovereighty Kingdom,Cloth Face Masks,R           15.00,136,"R                            2,040.00",None
DPP Mpumalanga,4/29/2020,Clicks Pharmacy,sanitizers,R           29.98,33,R                               989.60,None
DPP Mpumalanga,4/29/2020,Sovereighty Kingdom,Cloth Face Masks,R           15.00,84,"R                            1,060.00",None
DPP Mpumalanga,4/29/2020,Sovereighy Kingdom,Cloth face masks,R           15.00,220,"R                            3,300.00",face masks
DPP Mpumalanga,5/4/2020,West Pack lifestyle,1.5l magic hand gel,R           89.90,14,"R                            1,258.60",hand sanitizers
DPP Mpumalanga,5/18/2020,DIKARABO TRADING CO-OPERATIVE LIMITED,RE-USABLE FACE MASKS - MPUMALANGA,,,"R                            8,800.00",None
DPP Mpumalanga,5/25/2020,RINGANI GOODS AND SERVICES,SANITIZERS x 176 - DPP MPUMALANGA,,,"R                          29,920.00",None
DPP Mpumalanga,6/2/2020,Michem Cleaning Supplies,plastic bottle 750ml,R             4 .50,8,R                                 36.00,plastic bottle 750ml
