Name of Supplier / Service Provider,Commodity / Description of Services,"Order Amount/Rate per room
 (quarantine accommodation)"
Walking Tall Trading & Projects,"Provision of cleaning services at Meadowlands,
 Orlando, Kliptown and Lenasia Magistrate
 Courts (JHBE19/275)",89859
Walking Tall Trading & Projects,"Provision of cleaning services at Meadowlands,
 Orlando, Kliptown and Lenasia Magistrate
 Courts (JHBE19/275)",90807
Walking Tall Trading & Projects,"Provision of cleaning services at Meadowlands,
 Orlando, Kliptown and Lenasia Magistrate
 Courts (JHBE20/017)",255269
Walking Tall Trading & Projects,"Provision of cleaning services at Meadowlands,
 Orlando, Kliptown and Lenasia Magistrate
 Courts (JHBE20/017)",90807
Walking Tall Trading & Projects,"Provision of cleaning services at
 Meadowlands,Orlando, Kliptownand Lenasia
 Magistrate Courts (JHBE20/017)",89859
Wayinnivy Trading and Projects,Deep Cleaning at Nipiliar House,219523
Whitehouse,"Emegency Procurement Deligation with 1
 Qoutes obtained.",440
Xolazee PTY LTD,"Deep cleaning  Magistrate office: Nkangala
 Cluster 1",114734
Yashar Hands Services,Cleaning Magistrate courts: Elliotdale,21797
Yashar Hands Services,Cleaning Magistrate courts: Elliotdale,18097
Yashar Hands Services,Cleaning Magistrate courts: Elliotdale,17063
Yashar Hands Services,Cleaning Magistrate courts: Idutywa,17464
Yashar Hands Services,Cleaning Magistrate courts: Mqanduli,20717
Yashar Hands Services,Cleaning Magistrate courts: Mqanduli,15237
Yashar Hands Services,Cleaning Magistrate courts: Mqanduli,16373
Yashar Hands Services,Cleaning Magistrate courts: Ngqeleni,17178
Yoli Multi Solution,Bedford Magistrate cleaning services,6931
Yoli Multi Solution,"Emergency Procurement Delegation: One
 Quotation",11818
YottaZetta,Video conference and virtual meeting rooms,2932500
Zan Central,Cleaning Services Klerksdorp,98095
Zedek Trading 388,"Cleaning Magistrate courts: Mthatha
 Magistrate",55032
Zedek Trading 388,"Cleaning Magistrate courts: Mthatha
 Magistrate",37168
Zulu Royal Civil Construction,"Justice Various Magistrate Courts: Midlands
 District Municipality: Decontamination of
 facilities",1800000
"Zwelibuzwe Landscapre and
 Maintenance Services",Cleaning magistrate Court: Dordrecht,63675
"Zwelibuzwe Landscapre and
 Maintenance Services",Cleaning Magistrate courts: Idutywa,16161
"Zwelibuzwe Landscapre and
 Maintenance Services",Cleaning Magistrate courts: Willowvale,20601
"Zwelibuzwe Landscapre and
 Maintenance Services",Cleaning Magistrate courts: Willowvale,15431
"Zwelibuzwe Landscapre and
 Maintenance Services","Decontamination / Deep Cleaning &
 Disinfection",63949
"Zwelibuzwe Landscapre and
 Maintenance Services","Decontamination / Deep Cleaning &
 Disinfection",60314
"Zwelibuzwe Landscapre and
 Maintenance Services","Decontamination / Deep Cleaning &
 Disinfection",60414
"Zwelibuzwe Landscapre and
 Maintenance Services","Decontamination / Deep Cleaning &
 Disinfection",72834
"Zwelibuzwe Landscapre and
 Maintenance Services","Decontamination / Deep Cleaning &
 Disinfection",99599
"Zwelibuzwe Landscapre and
 Maintenance Services","Decontamination / Deep Cleaning &
 Disinfection",52314
"Zwelibuzwe Landscapre and
 Maintenance Services","Decontamination / Deep Cleaning &
 Disinfection",58102
