Name of Supplier / Service Provider,Commodity / Description of Services,"Order Amount/Rate per room
 (quarantine accommodation)"
"Deejoy Construction, Cleaning and
 Distribution","Foam soap refill with pump in a hygienically
 sealed package (JHBE19/266-Quote # 1 dd
 24/04/2020)",1355
"Deejoy Construction, Cleaning and
 Distribution",Folded Hand Paper towels,8280
"Deejoy Construction, Cleaning and
 Distribution",Folded Hand Paper towels,7200
"Deejoy Construction, Cleaning and
 Distribution",HAND SANITISER,19960
"Deejoy Construction, Cleaning and
 Distribution","HAND SANITISER ; JHBE19/266-Quote # 2 dd
 01 June 2020",399
"Deejoy Construction, Cleaning and
 Distribution","HAND SANITISER ; JHBE19/266-Quote # 2 dd
 01 June 2020",459
"Deejoy Construction, Cleaning and
 Distribution","Manual toilet seat cleaner dispenser ;
 JHBE19/266-Quote # 2 dd 01 June 2020",46000
"Deejoy Construction, Cleaning and
 Distribution","Manual toilet seat cleaner dispenser ;
 JHBE19/266-Quote # 2 dd 01 June 2020",52900
"Deejoy Construction, Cleaning and
 Distribution",OVERHEADS,5800
"Deejoy Construction, Cleaning and
 Distribution","OVERHEADS ; JHBE19/266-Quote # 2 dd 01
 June 2020",6670
"Deejoy Construction, Cleaning and
 Distribution",Overheads per month,6670
"Deejoy Construction, Cleaning and
 Distribution",Overheads per month,5800
"Deejoy Construction, Cleaning and
 Distribution","Supply and install automated foam hand soap
 dispenser",29900
"Deejoy Construction, Cleaning and
 Distribution","Supply and install automated foam hand soap
 dispenser",26000
"Deejoy Construction, Cleaning and
 Distribution","Supply of 60% alcohol based hand sanitisers
 100ml bottle",21519
"Deejoy Construction, Cleaning and
 Distribution","Supply of 60% alcohol based hand sanitisers
 100ml bottle",18713
"Deejoy Construction, Cleaning and
 Distribution","Supply of 60% alcohol based hand sanitisers
 150ml bottle",740
"Deejoy Construction, Cleaning and
 Distribution","Supply of 60% alcohol based hand sanitisers
 150ml bottle",643
"Deejoy Construction, Cleaning and
 Distribution",Supply of disposable powder free Latex gloves,17500
"Deejoy Construction, Cleaning and
 Distribution",Supply of disposable powder free Latex gloves,8050
"Deejoy Construction, Cleaning and
 Distribution",Supply of disposable powder free Latex gloves,7000
"Deejoy Construction, Cleaning and
 Distribution","Supply of disposable powder free Latex gloves;
 JHBE19/266-Quote # 2 dd 01 June 202",3500
"Deejoy Construction, Cleaning and
 Distribution","Supply of disposable powder free Latex gloves;
 JHBE19/266-Quote # 2 dd 01 June 202",4025
"Deejoy Construction, Cleaning and
 Distribution",Supply of surgical disposable face masks,57500
"Deejoy Construction, Cleaning and
 Distribution",Supply of surgical disposable face masks,50000
"Deejoy Construction, Cleaning and
 Distribution","Supply of surgical disposable face masks ;
 JHBE19/266-Quote # 2 dd 01 June 2020",80000
"Deejoy Construction, Cleaning and
 Distribution","Supply of surgical disposable face masks ;
 JHBE19/266-Quote # 2 dd 01 June 2020",92000
"Deejoy Construction, Cleaning and
 Distribution","Toilet seat cleaner refill in a hygienically sealed
 package ; JHBE19/266-Quote # 2 dd 01 June
 2020",5420
"Deejoy Construction, Cleaning and
 Distribution","Toilet seat cleaner refill in a hygienically sealed
 package ; JHBE19/266-Quote # 2 dd 01 June
 2020",6233
Dee'K Logistics,Decontamination of state property Group 3,471885
Delik Trading and Projects,Cleaning Services Ventersdorp,36054
DHT Wired,Purchasing of sickbay equipment,20657
Dimatyofela Trading,Cleaning magistrate Court: Willowvalle,80100
Dinny's Business Enterprise,"Provision of cleaning services at Vereeniging
 and Sebokeng Magistrate Courts
 (JHBE19/279)",126605
Dinny's Business Enterprise,"Provision of cleaning services at Vereeniging
 and Sebokeng Magistrate Courts
 (JHBE19/279)",110060
Dinny's Business Enterprise,"Provision of cleaning services at Vereeniging
 and Sebokeng Magistrate Courts
 (JHBE19/279)",126605
Dinny's Business Enterprise,"Provision of cleaning services at Vereeniging
 and Sebokeng Magistrate Courts
 (JHBE20/021)",282480
Dinny's Business Enterprise,"Provision of cleaning services at Vereeniging
 and Sebokeng Magistrate Courts
 (JHBE20/021)",110060
DISCHEM,Purchase of Temperature scanners @ CGO,1000
Dlekwane Trading and Projects,"decontamination and deep cleaning at
 different DPWI remote offices once off",205000
"Dreamfinders Trading & Projects
 414",Decontamination of state property Group 6,336942
Dumezulu Supplier and Projects,"Provision of cleaning services at Nigel,
 Brakpan, Springs and Daveyton Magistrate
 Courts (JHBE19/281)",121771
Dumezulu Supplier and Projects,"Provision of cleaning services at Nigel,
 Brakpan, Springs and Daveyton Magistrate
 Courts (JHBE19/281)",223476
Dumezulu Supplier and Projects,"Provision of cleaning services at Nigel,
 Brakpan, Springs and Daveyton Magistrate
 Courts (JHBE20/023)",223476
Dumezulu Supplier and Projects,"Provision of cleaning services at Nigel,
 Brakpan, Springs and Daveyton Magistrate
 Courts (JHBE20/023)",121771
Early Flush Toilet,Portable toilets X20 and Sanitart bins X20,85100
East Cost Clothing,Emergency Process,13800
Easter fire and safety,Cleaning services,6096
Easter fire and safety,Cleaning services,15685
Easter fire and safety,Cleaning services,9389
Eastgate,Accommodation: Quarantine Site,1093
Eco-Refined,Decontamination at Cullinan Magistrate,96840
Ehrlick Park Lodge,Accommodation: Quarantine Site,1000
"Endomed medical and surgical
 supplies",Disposable aprons,11000
Engoza Trading,"Emergency Procurement Delegation with 4
 Quotes obtained.",161460
Engoza Trading,"Emergency Procurement Delegation with 5
 Quotes obtained.",130272
Engoza Trading,"Emergency Procurement Delegation with 6
 Quotes obtained.",116472
Eri Vision Pty LTD,"Emergency Procurement Delegation with 4
 Quotes obtained.",189943
Eri Vision Pty LTD,"Emergency Procurement Delegation with 4
 Quotes obtained.",197599
Eri Vision Pty LTD,"Emergency Procurement Delegation with 5
 Quotes obtained.",98712
Eri Vision Pty LTD,"Emergency Procurement Delegation with 5
 Quotes obtained.",122915
Eri Vision Pty LTD,"Emergency Procurement Delegation with 6
 Quotes obtained.",77224
Eri Vision Pty LTD,Emergency Process,18900
Evergreen latex cc,Hand Gloves,124800
Eyamadlomo Services (Pty) Ltd,"Cleaning Magistrate courts: Maclear and Mt
 Fletcher",41160
Eyamadlomo Services (Pty) Ltd,"Cleaning Magistrate courts: Maclear and Mt
 Fletcher",36360
Eyamadlomo Services (Pty) Ltd,"Cleaning Magistrate courts: Mthatha High
 Court",38885
Eyamadlomo Services (Pty) Ltd,"Cleaning Magistrate courts: Mthatha
 Magistrate",38885
