Supplier Name,Director Name,Director Surname,Company Registration,CSD Supplier  Number,Location,District,Departme,tOrder Price,
Salaiso Suppliers,Salathiso,Sikonje,2008/071801/23,MAAA0084947,Eastern Cape,Buffalo City,MTC,207433.74,
JD Strategic Investments,Siyanda,Ngcakani,2011/105035/23,MAAA0850880,Eastern Cape,Nelson Mandela,DPW,201902.05,
MEONDO,KENNETH,MOKGOSI,2006/115060/23,MAAA0000043,Eastern Cape,Alfred Nzo,DOH,195000.00,
IBHAYA LAB,Glenda,Brown,2015/436971/07,MAAA0198763,Eastern Cape,Nelson Mandela,DRDAR,192580.00,
"Occupational Injuries
Solutions",Azola Thobeka,Tebe,2010/138529/23,MAAA0133377,Eastern Cape,Amathole,ELIDZ,185499.00,
Alutime (Pty) Ltd,lifa,ngqukuvana,2015/272861/07,MAAA0759984,Eastern Cape,Buffalo City,MTC,181500.00,
Rurban Creative,Thembela,Maweza,2013/008571/07,MAAA0129340,Eastern Cape,Buffalo City,DOT,173500.00,
Lugaju Innovation,Bongumusa Msizi,Zuma,2014/118383/07,MAAA0051471,Eastern Cape,Buffalo City,DEDEAT,167380.00,
Vapi Group,Khalipha,Mtati,2020/085921/07,MAAA0928694,Eastern Cape,Buffalo City,DOT,164268.10,
Ezasezantsi,Phethelo,Hanise,2014/263244/07,MAAA0277982,Eastern Cape,Buffalo City,DOT,152000.00,
Conqua Industries,nomaswazi,Jili,2014/103103/07,MAAA0456524,Eastern Cape,Buffalo City,DOH,145312.00,
Adalindyebo,Thembile,Matushe,7.91011E+12,MAAA0100146,Eastern Cape,Sarah Baartman,DOT,134950.00,
Red Alert,Martin,Harvey,1981/010813/07,MAAA0163474,Eastern Cape,Buffalo City,Legislature,120250.00,
Bidvest Steiner,Magdeline,Nomeh,2000/011155/07,MAAA0247617,Eastern Cape,Buffalo City,Legislature,119784.00,
Esonam  Printers,Daniswa,Celu,2010/104252/23,MAAA0074953,Eastern Cape,Buffalo City,DOT,484000.00,
Siyolise Phawu,Nelisa,Mthini,2016/325474/07,MAAA0483702,Eastern Cape,Buffalo City,DOT,348381.00,
"Grandwood Tourism and
Trading",Freda,Drummond,2011/012438/23,MAAA0414919,Eastern Cape,OR Tambo,DOT,20000.00,
Zamaswazi,Ntombikayise edith,Dubula,2009/001674/24,MAAA0052652,Eastern Cape,OR Tambo,DOT,119000.00,
Zanolutho Business enterprise,Ntsika Emanuel,Tumela,2018/602983/07,MAAA0828994,Eastern Cape,Nelson Mandela,DPW,114462.50,
KUUHLE TRADING ENTERPRISE,Nosipho Skhumbuzo,Matebese,2007/165665/23,MAAA0446430,Eastern Cape,Amathole,DPW,114000.00,
"Nondabula Services and
supplies",WOWO,NONDABULA,2014/124532/07,MAAA0056688,Eastern Cape,Buffalo City,OTP,3113000.00,
Amaza,Lucky,Nduli,2016/120954/07,MAAA0110211,Eastern Cape,Nelson Mandela Bay,DOT,110000.00,
BVM Logistics,mziwethu,sanda,2014/038141/07,MAAA0185709,Eastern Cape,Buffalo City,DOH,104328.00,
Zepzamo Trading,Pholiswa Portia,Rula,2016/372570/07,MAAA0337943,Eastern Cape,OR Tambo,CoGTA,100400.00,
Ditsibi,Lukhanyo,Manzini,2012/215786/07,MAAA0083614,Eastern Cape,Buffalo City,DOT,99750.00,
Carnation Delux Events,nokwanele,phohleli,2014/241474/07,MAAA0041823,Eastern Cape,Buffalo City,DOT,88999.80,
Loponta,LAVELA PHIKOLOMZI,NYATI,2018/362016/07,MAAA0781056,Eastern Cape,Buffalo City,Legislature,85700.00,
Zinolwazi Pty,Iris Likomo,Sicwebu,2016/527310/07,MAAA0506837,Eastern Cape,OR Tambo,DRDAR,81650.00,
"UNCEDO TRANSPORT &
BUSINESS",Vuyani Felix,Mjekula,2003/000055/24,MAAA0916565,Eastern Cape,Buffalo City,DOH,79120.00,
Ikwezi Signs,Gary,Weimann,2001/025296/23,MAAA0144180,Eastern Cape,Buffalo City,DOH,76482.00,
Beloved Ventures,Zingisa,Ndudane,2009/106868/23,MAAA0006780,Eastern Cape,Buffalo City,DOT,75000.00,
The Paint Bull,Debbie,Scholtz,1996/032348/23,MAAA0090476,Eastern Cape,Buffalo City,DSRAC,72000.00,
Rietu,Siyasanga,Kubukeli,2014/032155/07,MAAA0135578,Eastern Cape,OR Tambo,DOT,66250.00,
Linn Business Solutions,Lelothando,NONGAUZA,2019/065450/07,MAAA0742346,Eastern Cape,Buffalo City,DOH,63000.00,
Vatosec (Pty) Ltd,Bongani,Nqana,2008/031384/23,MAAA0719542,Eastern Cape,Amathole,DRDAR,61152.00,
Aluworks,Darren,Scholtz,2019/038376/07,MAAA0908567,Eastern Cape,Buffalo City,DSRAC,58500.00,
CHINYERE ENTERPRISES,Peter Gerard,Barrow,2017/022042/07,MAAA0546676,Eastern Cape,Buffalo City,DPW,57504.50,
Ikwezi Signs CC,Gary,Weimann,2001/025296/23,MAAA0144180,Eastern Cape,Buffalo City,ECRDA,56925.25,
KAYA MNANDI,Ncumisa,Bele,2007/077789/23,MAAA0052869,Eastern Cape,Buffalo City,DOH,53975.00,
Time Clothing,John Derek,Goodhill,1997/014883/07,MAAA120112,Eastern Cape,Buffalo City,CoGTA,53174.16,
Legricon ( PTY) LTD,Hendrik,Terblanche,2003/003252/07,MAAA0194398,Eastern Cape,Sarah Baartman,ELIDZ,52800.00,
"YIZANISAKHE TEXTILE
PRIMARY CO-OPERATIVE
LIMITED",NONTSIKELELO CYNTHIA,NDAMANE,2015/011940/24,MAAA0402691,Eastern Cape,Alfred Nzo,Soc Dev,52590.40,
Chemex Industrial Chemicals,Peter Malcolm,Guest,1994/033668/23,MAAA0102665,Eastern Cape,Buffalo City,MTC,52572.25,
Pandulwazi Cleaning,Bukelwa,Yalezo,2003/056501/23,MAAA0025340,Eastern Cape,Joe Gqabi,DSRAC,51405.00,
Emonti Medical Supplies,Joey Blom,Blom,2010/058201/23,MAAA0056316,Eastern Cape,Buffalo City,DSL,64782.25,
Copy World,STEPHEN,BEAUMONT,1994/092555/07,MAAA0240261,Eastern Cape,Buffalo City,ECRDA,47765.80,
Dzana and Mfuphi Trading,noncedo beauty,ndlobeni,2008/163660/23,MAAA0055991,Eastern Cape,OR Tambo,DRDAR,45000.00,
Nonis Business Hub (Pty) Ltd,Nonceba Diphtheria,Fikeni,2017/460279/07,MAAA0659320,Eastern Cape,Alfred Nzo,DRDAR,45000.00,
Epukanini,Mercia,Klose,2005/137246/23,MAAA0036656,Eastern Cape,Buffalo City,ECRDA,44056.62,
"Grandwood Tourism and
Trading",Umyalile Mpendulo-yakhe,Maduma,2011/012438/23,MAAA0414919,Eastern Cape,OR Thambo,DOT,41900.00,
"PHUHLISO GQUGQUGQU
SEWING AND MULTIPURPOSE
PRIMARY CO-OPERATIVE
LIMITED",Ntomboxolo Lerato,Ngeleza,2017/011757/24,MAAA0575254,Eastern Cape,Cacadu,Soc Dev,41210.00,
"Fiznef Trading 10 t/a The
Specialists Cc",Chantel,Grobler,2011/050820/23,MAAA0124921,Eastern Cape,Buffalo City,PT,39684.23,
CBT Connet,Bongani,Cebanto,2012/108040/07,MAAA0001672,Eastern Cape,Buffalo City,Legislature,39500.00,
Chem Ex,Peter Malcolm,Guest,1994/033668/23,MAAA0102665,Eastern Cape,Buffalo City,ECRDA,36989.68,
"Mkhonto Trading t/a Eco
Chemical Solutions",Craig Albert,Townsend,2003/067617/23,MAAA0106785,Eastern Cape,Nelson Mandela,DSL,36235.80,
TOTAL LABS,Debbie,Scholtz,1996/032348/23,MAAA0090476,Eastern Cape,Buffalo City,DRDAR,35678.75,
TECMED (Pty) Ltd,Liezle,Bosch,1992/000472/07,MAAA0002079,Eastern Cape,Nelson Mandela,PT,33014.74,
The Specialists,Sugne,Blignaut,2004/025738/07,MAAA0282600,Eastern Cape,Buffalo City,PT,32679.33,
"Zamulwazi Clothing
Manufacturers-Primary Co-
opratives",Ntombikayise edith,Dubula,2009/001674/24,MAAA0052652,Eastern Cape,OR Tambo,PT,31500.00,
Sbosh Tradings,sibongile,kose,2015/233687/07,MAAA0025987,Eastern Cape,Buffalo City,MTC,28422.80,
SENZAKAKUHLE TRADING,linda,petse,2009/056100/23,MAAA0083534,Eastern Cape,Buffalo City,Soc Dev,29880.00,
ABC AND Z TRADING,Mxolisi,Bosman,2017/470224/07,MAAA0539445,Eastern Cape,Nelson Mandela Bay,Soc Dev,29750.00,
IN YOUR TANK PETROLEUM,ayabulela,stwayi,2013/015907/07,MAAA0024051,Eastern Cape,Nelson Mandela Bay,DOH,29499.96,
Ngcaku Cleaning and Projects,Siphumze,Ngcaku,2020/034008/07,MAAA0881915,Eastern Cape,Buffalo City,PT,28000.00,
Beloved Ventures Trading,Zingisa,Ndudane,2009/106868/23,MAAA0006780,Eastern Cape,Buffalo City,PT,29250.00,
ATZ Marketing,NOMAKHAYA,NGQAWANA,2009/018233/23,MAAA0094712,Eastern Cape,Buffalo City,Legislature,29000.00,
CRYPTOSPARK,Ruweida Bernadette,Cornellison,2010/128011/23,MAAA0101204,Eastern Cape,Nelson Mandela Bay,DOH,29000.00,
Eujona Fashions,ZANDILE PRUDENCE,DAMANE,2016/227269/07,MAAA0563465,Eastern Cape,Alfred Nzo,DPW,28920.40,
"PROVINCIAL WESTBOURNE
PHARMACY",David Raoul,Rubin,2007/216890/23,MAAA0084366,Eastern Cape,Nelson Mandela Bay,Soc Dev,28500.00,
"SINOZINTO MULTIPURPOSE
PRIMARY CO-OPERATIVE
LIMITED",Nokubonga Medrina,Mpazima,2014/018202/24,MAAA0497164,Eastern Cape,Alfred Nzo,Soc Dev,27500.00,
Simamkele Security,daniel enaebo,odiagbe,2009/196102/23,MAAA0082537,Eastern Cape,Joe Gqabi,DRDAR,26950.00,
"EBN-TEC Compliance And
Performance Training Services",Eve,Ndlovu,2009/148979/23,MAAA0127325,Eastern Cape,Buffalo City,ELIDZ,26000.00,
Marograph,Ntombekhaya,Mfana,2014/235801/07,MAAA0019697,Eastern Cape,Buffalo City,EGBB,25850.00,
Bravo Afrika Holdings pty ltd,Gabuka,Booi,2010/158872/23,MAAA0111353,Eastern Cape,Chris Hani,ELIDZ,25462.50,
"ZEKAKUHLE PRIMARY CO-
OPERATIVE LIMITED",Nandzie,Njikelana,2018/002366/24,MAAA0820714,Eastern Cape,Buffalo City,Soc Dev,24250.00,
PREMAX TRADING,glenys,brass,2010/037116/23,MAAA0493144,Eastern Cape,Nelson Mandela Bay,DOH,22911.00,
Nodoli Trading,Nelisiwe,Mbidlana,2006/070983/23,MAAA0084290,Eastern Cape,Chris Hani,DPW,21951.00,
Stationers and branding,andrea roxanne,maartens,2004/066450/23,MAAA0152661,Eastern Cape,Buffalo City,MTC,21592.00,
Intelligent Business Solution,Ravi,Naidoo,8.01204E+12,MAAA0143097,Eastern Cape,Buffalo City,DRDAR,21030.00,
"FUNDAM A TRADING AND
RECYCLING",andile,Fundam,2015/245341/07,MAAA0000336,Eastern Cape,Buffalo City,Soc Dev,21000.00,
Harry's Printers,DENNIS,FERREIRA,1972/001053/07,MAAA0150850,Eastern Cape,Chris Hani,ELIDZ,20383.00,
Guleni Projects,Sethu,Magagula,2017/501874/07,MAAA0550098,Eastern Cape,Buffalo City,OTP,28800.00,
"SPICE J GENERAL TRADING
(PTY) LTD",Inga,Spayile,2014/030861/07,MAAA0368135,Eastern Cape,Buffalo City,MTC,18900.00,
Faku Investigation & Assesors,Sobantu,Qandashe,2015/144380/07,MAAA0449808,Eastern Cape,Buffalo City,COGTA,18846.00,
Office Incorporated,Nadine,Balakrishna,7.01129E+12,MAAA0042299,Eastern Cape,Buffalo City,MTC,16738.03,
"LELETHU BAFAZI PRIMARY CO-
OPERATIVE LIMITED",Pheliwe,Mdingi,2019/002238/24,MAAA0756699,Eastern Cape,Nelson Mandela Bay,Soc Dev,16650.00,
"ONE-LEVER SEWING /
EMBROIDERY AND
BEADSWORK WORKER",Phunyezwa,Witbooi,2008/003679/24,MAAA0053603,Eastern Cape,Nelson Mandela Bay,Soc Dev,16650.00,
NUTIGEN,Phumlani,Nene,2018/337822/07,MAAA0801695,Eastern Cape,Buffalo City,Soc Dev,15997.65,
"YENZANI BAFAZI PRIMARY CO-
OPERATIVE LIMITED",Abusisiwe,Magxwalisa,2018/002750/24,MAAA0703266,Eastern Cape,Nelson Mandela Bay,Soc Dev,15984.00,
Sobag Trading cc,NCEBAKAZI,SOBAI,2009/180830/23,MAAA0126955,Eastern Cape,OR Tambo,DRDAR,15750.00,
AMINA CHEM (PTY)LTD,TENIEL,SUTTON,2010/018248/07,MAAA0127803,Eastern Cape,OR Tambo,MTC,15737.80,
PHINDILE AMIR MPAYIPELI,Phindile,Mpayipeli,8.00604E+12,MAAA0098915,Eastern Cape,Buffalo City,Soc Dev,13340.00,
"SIYAQALA SIYAGQIBA
TRADING",Nondumiso,Sonandi,2009/056104/23,MAAA0083750,Eastern Cape,Buffalo City,DPW,12000.00,
BRAVOPLEX 532,Craig,Ragaval,2011/094491/23,MAAA0075744,Eastern Cape,Buffalo City,Soc Dev,11990.00,
MASIMINI SOLUTIONS,Denovin Crisendo,Lawrence,2018/356126/07,MAAA0647526,Eastern Cape,Buffalo City,Soc Dev,11865.25,
Time Clothing,John Derek,Goodhill,1997/014883/07,MAAA0120112,Eastern Cape,Buffalo City,MTC,11661.00,
"Ngqutura Transport Services
Cc",Ayanda,Booi,2008/153952/23,MAAA0089448,Eastern Cape,Buffalo City,PT,11338.08,
East Coast Clothing,Simon,Segirinya,2015/121556/07,MAAA0466320,Eastern Cape,Nelson Mandela,DSL,11040.00,
Braemore Design,Warren,Sauls,2018/254484/07,MAAA0905028,Eastern Cape,Nelson Mandela,ECRDA,9775.50,
"Total Laboratory Technology
cc",Debbie,Scholtz,1996/032348/23,MAAA0090476,Eastern Cape,Buffalo City,ELIDZ,7600.00,
Budget Pest Control,Paul,Wilkie,1996/004672/23,MAAA0113066,Eastern Cape,Buffalo City,ECRDA,6191.40,
Khazimla Agencies,Odwa,Nyikana,2015/403112/07,MAAA0948940,Eastern Cape,Amathole,ELIDZ,4680.00,
Pick n Pay,Wandisile,Velem,2009/002745/07,MAAA0090805,Eastern Cape,Buffalo City,ECRDA,4197.00,
KNOWRES (PTY) LTD,"Zia Delphine and Abraham
Petrus",Attlee and Vosloo,2014/279416/07,MAAA0572253,Eastern Cape,Nelson Mandela,ELIDZ,3500.00,
Falcon Sheq Consulting(pty)ltd,Zona Mandlakazi Wisegirl,Van Gruenun,2018/359888/07,MAAA0708497,Eastern Cape,Nelson Mandela,ELIDZ,3400.00,
LINOTO DEVELOPERS CC,Sipha,Mdlulwa,1999/025616/23,MAAA0004452,Eastern Cape,OR Tambo,Legislature,28704.00,
Morale Cleaning Services,Sindiswa,Mpepanduku,2008/053423/23,MAAA0368366,Eastern Cape,Alfred Nzo,OTP,85500.00,
Pick n Pay,Wandisile,Velem,2009/002745/07,MAAA0090805,Eastern Cape,Buffalo City,OTP,3300.00,
Koko expert,Tshepo,Koko,2016/021065/07,MAAA0421962,Eastern Cape,Alfred Nzo,DRDAR,12117.50,
"The middle man trading
enterprise",Andile,Sifumba,2014/003158/07,MAAA0215571,Eastern Cape,Joe Gqabi,DRDAR,2450.00,
Yeyomzi Trading,Mankosi,Magwentshu,2013/041308/07,MAAA0156845,Eastern Cape,Buffalo City,DRDAR,29950.00,
"Lolitha Construction &
Projects",Xolani Wiseman,Jalivane,2017/235352/07,MAAA0482516,Eastern Cape,Buffalo City,DRDAR,62220.00,
"NONTEMBEKO HANDCRAFTS
CO-OPERATIVE LIMITED",Goodman Nqamisa,Nqamisa,2012/018374/24,MAAA0743181,Eastern Cape,Cacadu,Soc Dev,3250.00,
"PIRIS AND PAROS GENERAL
TRADING",Malibongwe,Piet,2016/430618/07,MAAA0481271,Eastern Cape,Nelson Mandela Bay,Soc Dev,3000.00,
Guleni Projects,Sethu,Magagula,2017/501874/07,MAAA0550098,Eastern Cape,Buffalo City,EGBB,2750.00,
BEE SMART TRADERS,Christine,Chamberlain,2014/131523/07,MAAA0916881,Eastern Cape,Nelson Mandela,COEGA,2337.50,
Zebra Solutions,Albertus Bernardus,Lombard,2011/057397/23,MAAA0553636,Eastern Cape,Sarah Baartman,ECRDA,2327.60,
"Libra Trading T/A Falcon
Trading Company","Wessel Moolman and
Gary Ross",Goedhals,1997/009811/23,MAAA0476245,Eastern Cape,Nelson Mandela,ELIDZ,845.20,
,,,,,,,,875419146.29,
,,,,,,,,,
Jericho Recovery Centre,Johan Lucas,Loock,115-472 NPO,MAAA0931999,Free State,Thabo Mofutsanyane,ECRDA,11500.00,
,,,,,,,,,
,,,,,,,,,
Evergreen Latex,Katie,Yang,2002/057771/23,MAAA0080910,Gauteng,City of Tshwane,DOH,63559572.00,
Southern Horn,Nomakhwezi,Mzambo,2019/254607/07,MAAA0908326,Gauteng,City of Johannesburg,ECPTA,3100.00,
SSEM Mthembu,Jessica,ODell,1987/001244/07,MAAA0010303,Gauteng,City of Johannesburg,DOH,30852979.09,
Imperial Health Solutions,Bulumko,Futshane,2008/262087/23,MAAA0033884,Gauteng,City of Johannesburg,DOH,18788000.00,
Slanko Global Trading,Phikolomzi,Namba,2018/339954/07,MAAA0890966,Gauteng,City of Johannesburg,ECDC,1323.00,
Mbuso Medical,Sanele,Mkhize,2003/059885/23,MAAA0001590,Gauteng,City of Johannesburg,DOH,15395592.20,
TSEBO SOLUTIONS GROUP,lusanda,mkalipi,2016/224394/07,MAAA0428201,Gauteng,City of Johannesburg,DOH,5064575.00,
Dessert Rose,Aseko,Booi,2016/443092/07,MAAA0418505,Gauteng,City of Johannesburg,DOH,4875000.00,
Medicore,Siyavuya,Mbete,2015/312638/07,MAAA0528823,Gauteng,City of Tshwane,DOH,4732220.00,
ECOMED MEDICAL,Lani,Joubert,2016/084766/07,MAAA0058963,Gauteng,City of Johannesburg,DOH,4694087.00,
Fresenius Kabi,Tshireletso,Dipholo,1998/006230/07,MAAA0007374,Gauteng,City of Johannesburg,DOH,3389475.60,
Vortex,AKESH,MAHARAJ,2018/417207/07,MAAA0010062,Gauteng,City of Johannesburg,DOH,3071562.00,
Safarmex,Ivone Alves,Lourenco,2007/033535/07,MAAA0070251,Gauteng,Ekurhuleni,DOH,2881350.31,
"NAKEDE MANAGEMENT
SERVICES",Mninawa,Mketo,2008/158911/23,MAAA0012718,Gauteng,City of Johannesburg,DOE,2723910.56,
Dimpho,sebina sarah,matolo,2015/195472/07,MAAA0005882,Gauteng,City of Johannesburg,DOH,2598770.00,
X COMMS,Nontlupheko Oscarine,Mjekula,2015/249593/07,MAAA0042763,Gauteng,City of Johannesburg,DOE,2513917.11,
Msi Technologies,Sharon,Ntshangase,2016/154994/07,MAAA0278143,Gauteng,City of Johannesburg,DOH,2260000.00,
LINDO LETHU,Gugulethu Zama,Zuma,2009/134847/23,MAAA0055983,Gauteng,City of Johannesburg,DOH,1999959.00,
HOSPITAL EQUIPMENT,Diseko Gladys,Mogotsi,2000/000651/07,MAAA0106830,Gauteng,Ekurhuleni,DOH,1940568.00,
Aprowave,Sagaran,Reddy,2010/040422/23,MAAA0011898,Gauteng,City of Johannesburg,DOH,1932000.00,
Axim,George,Theron,2017/097295/07,MAAA0748884,Gauteng,City of Johannesburg,DOH,1908624.32,
Tecmed Medical,Liezle,Bosch,1992/000472/07,MAAA0002079,Gauteng,City of Johannesburg,DOH,1726048.11,
Alphagen Health,Lubabalo,Mayekiso,2019/034076/07,MAAA0822133,Gauteng,City of Johannesburg,DOH,1560000.00,
IBISM Trading Enterprice,zandile,mnguni,2010/146045/23,MAAA0163915,Gauteng,City of Johannesburg,DOH,1560000.00,
Somlolo Group Investments,Esethu,Mancotywa,2013/079199/07,MAAA0901445,Gauteng,City of Tshwane,DOH,1560000.00,
Arjo,Kay Joan,Ryan,2001/016670/07,MAAA0005800,Gauteng,City of Johannesburg,DOH,1335955.20,
"Khaya Engineering and
Technology",Anita,Lomo,2013/204293/07,MAAA0324584,Gauteng,eThekwini,DOH,1248000.00,
WELCH ALLYN SA,Sante,Coetzer,2001/026216/07,MAAA0007964,Gauteng,City of Johannesburg,DOH,1235312.00,
KARITA SERVICES,Motheba Unathi,Mohapi,2009/018346/07,MAAA0076714,Gauteng,City of Johannesburg,Soc Dev,1232500.00,
Prometheus Capital,Richard Aron,Meyer,2019/610294/07,MAAA0909538,Gauteng,City of Johannesburg,DOH,1010000.00,
JBO HOLDINGS,Jacquline,Ogwang,2019/573181/07,MAAA0867752,Gauteng,City of Johannesburg,DOE,925795.37,
Liora Medical Supplies,Jill,Selamolela,2011/013434/23,MAAA0002271,Gauteng,Ekurhuleni,DOH,916294.50,
Royal Fotress Holding,Mpumzi Muntu,Fani,2013/037324/07,MAAA0193891,Gauteng,City of Tshwane,DOH,916000.00,
HEMOCUE SA,Annelien,Vorster,2009/000096/07,MAAA0050495,Gauteng,City of Johannesburg,DOH,870624.00,
Lechoba Medical Technologies,"MKATEKO CHARLOTTE
MANGALANA",MANGALANA,2005/044442/07,MAAA0038766,Gauteng,City of Tshwane,DOH,600000.00,
"Endomed Surgical and
Supplies","Endomed Medical and
Surgical Supplies cc",Endomed,1997/048492/23,MAAA0092570,Gauteng,City of Johannesburg,DOH,499991.25,
Sanbonani,Michelle,Chamberlain,2004/000822/07,MAAA0005799,Gauteng,City of Tshwane,DOH,488500.00,
B Braun,Walda,van Zyl,1995/003058/07,MAAA0040832,Gauteng,City of Johannesburg,DOH,484210.80,
UNICORE HOLDINGS,Dhiren,Mehta,2011/000574/07,MAAA0082219,Gauteng,City of Tshwane,DOH,336574.00,
IC Bane,Nombulelo Zamajama,Mantini,2015/336311/07,MAAA0068961,Gauteng,Ekurhuleni,DOT,259500.00,
Lechoba Medical Technologies,"MKATEKO CHARLOTTE
MANGALANA",MANGALANA,2005/044442/07,MAAA0038766,Gauteng,City of Tshwane,DPW,207848.15,
"Tripple N Medical Distributors
(Pty) LTD",Naomi,Ngwenya,2011/129850/07,MAAA0001283,Gauteng,City of Tshwane,CoGTA,163085.52,
Tara Technologies,Liezle,Bosch,1992/000472/07,MAAA0002079,Gauteng,City of Johannesburg,DOH,143276.00,
Kaizen Print & Sign,Dawson,Maesela,2017/428654/07,MAAA0573600,Gauteng,City of Johannesburg,DOH,134000.00,
"BIOLOGICA
PHARMACEUTICALS",Yvonne,Mzizana,2013/067392/07,MAAA0014602,Gauteng,City of Tshwane,Soc Dev,133250.00,
TP Mthyole (pty) Ltd,Naomi,Ngwenya,2011/129850/07,MAAA0001283,Gauteng,City of Johannesburg,DRDAR,98100.00,
THE DENTAL WAREHOUSE,Lebohang,Moya,1973/016918/07,MAAA0061947,Gauteng,City of Johannesburg,DPW,69089.60,
Signs4SA,Kevin,Naidoo,2019/097154/07,MAAA0854053,Gauteng,City of Johannesburg,ECRDA,66046.28,
Evergreen Latex,Katie,Yang,2002/057771/23,MAAA0080910,Gauteng,City of Tshwane,COGTA,49850.00,
MEDICORE,Siyavuya,Mbete,2015/312638/07,MAAA0528823,Gauteng,City of Tshwane,OTP,32000.00,
Rentokil Initial,MILFORD,MASHELE,1967/013286/07,MAAA0102243,Gauteng,City of Johannesburg,DSL,27465.45,
Alon Trading,Ishmael,Manganye,2018/240617/07,MAAA0619061,Gauteng,City of Johannesburg,DEDEAT,24284.00,
HLCB Holdings,Hlathikazi Melony,Beni,2012/013227/07,MAAA0055935,Gauteng,City of Johannesburg,MTC,19000.00,
KOTSEDI MEDICAL,Praller Dokie,Thomas,2004/034992/23,MAAA0059445,Gauteng,City of Johannesburg,DOH,12535.00,
RENTOKIL INITIAL,MILFORD,MASHELE,1967/013286/07,MAAA0102243,Gauteng,City of Johannesburg,DPW,11115.90,
Adonhanise,Precious,Wasara,2014/059388/07,MAAA0383629,Gauteng,City of Johannesburg,Legislature,28650.00,
Lasec Pty,Dan-Mari,Victor,2000/010102/07,MAAA0004575,Gauteng,City of Johannesburg,ELIDZ,1350.00,
,,,,,,,,195172836.32,
,,,,,,,,,
Unitrade 1032 CC,Anesh,Baitchu,1998/002665/23,MAAA0026259,KwaZulu-Natal,eThekwini,DOH,8350797.00,
Indlovu Manufacturers,Rehen,Maharaj,2008/171388/23,MAAA0007668,KwaZulu-Natal,Umsunduzi,DOH,6193010.00,
Quality Medical Supplies,Vigneswari,Naicker,2015/019742/07,MAAA0039490,KwaZulu-Natal,eThekwini,DOH,5834000.00,
Khanyisile Ngolwazi,Nolwazi Khanyisile,Faku,2019/243297/07,MAAA0786088,KwaZulu-Natal,Umgungundlovu,DOH,5421635.06,
Logan Medical,Monica,Sivanath,2012/056508/07,MAAA0009035,KwaZulu-Natal,eThekwini,DOH,5400135.00,
NEW HORIZON METALS,SAGREN,NAIDOO,2000/007991/23,MAAA0074071,KwaZulu-Natal,eThekwini,DOH,2995975.66,
"ILAWU TRAINING SAMILA
CONSTRUCTION JV",Brian,Muthwa,2013/224295/07,MAAA0361384,KwaZulu-Natal,eThekwini,DOE,2234340.55,
Promed Technologies,TRINISE,Govender,2014/162486/07,MAAA0352514,KwaZulu-Natal,eThekwini,DOH,2098970.00,
HG CONSULTANT (PTY) LTD,Lyle Mark,Gradidge,2014/123739/07,MAAA0179681,KwaZulu-Natal,eThekwini,DOE,2044945.31,
Barrs Pharmaceuticals,Sharolene,Jacobs,2012/056577/07,MAAA0024330,KwaZulu-Natal,eThekwini,DOH,1829715.00,
ALAKANI HOLDINGS (PTY) LTD,Sipokazi,Macanda,2016/470155/07,MAAA0456034,KwaZulu-Natal,eThekwini,DOE,1718520.22,
BUILTPRO CONSTRUCTION,Emmanuel,Sserufusa,2018/233452/07,MAAA0751575,KwaZulu-Natal,eThekwini,DOE,1654758.82,
AMAHLUNGU CIVIL,Umndeni,Mhlungu,2014/148195/07,MAAA0336975,KwaZulu-Natal,eThekwini,DOE,1541832.68,
Compass Waste,Julie,Venter,2003/002007/07,MAAA0007736,KwaZulu-Natal,eThekwini,DOH,1474000.00,
Oshlanga,Anjalai,Naidoo,2000/060936/23,MAAA0030126,KwaZulu-Natal,eThekwini,DOH,1390000.00,
Majodina Group,Mandisa,Ketso,2013/190094/07,MAAA0726818,KwaZulu-Natal,eThekwini,DOH,1340000.00,
Africa Paper Manufacturers,greg vivian,moonsamy,2006/197415/23,MAAA0529782,KwaZulu-Natal,eThekwini,DOH,1248000.00,
Bravo Africa Holdings,Thulani Errence,Simelane,2017/024075/07,MAAA0472833,KwaZulu-Natal,Uthungulu,DOH,1248000.00,
Lionbee Investments,Deborah Leticia,Stainbank,2005/025972/07,MAAA0501866,KwaZulu-Natal,eThekwini,DOH,1248000.00,
Uthanda,Siphiwe Phineas,Nkosi,2005/003083/07,MAAA0177127,KwaZulu-Natal,Umgungundlovu,DOH,1248000.00,
Worldfocus,Theo,Venter,2016/466650/07,MAAA0690249,KwaZulu-Natal,Umsunduzi,DOH,1248000.00,
Progress Medical,Kiran,Ragaven,2001/029028/23,MAAA0077264,KwaZulu-Natal,eThekwini,DOH,893000.00,
Senred Enterprises,Rishenthri,Reddy,2016/273114/07,MAAA0237536,KwaZulu-Natal,eThekwini,DOH,781590.00,
DONDERIEN,ZANELE SMOKUHLE,XULU,2013/231107/07,MAAA0470574,KwaZulu-Natal,eThekwini,DOH,496780.00,
Allenco Medical and Dental,Allen,Mudaly,2001/068091/23,MAAA0003731,KwaZulu-Natal,eThekwini,DOH,465750.00,
Access Medical,Duran,Govender,2012/013099/07,MAAA0013740,KwaZulu-Natal,eThekwini,DOH,311700.00,
"Medical International
Orthopaedic",Krishna Dhanapal,Naidoo,2007/023366/23,MAAA0246284,KwaZulu-Natal,eThekwini,DOH,90000.00,
