Supplier Name,Director Name,Director Surname,Company Registration,CSD Supplier  Number,Location,District,Departme,tOrder Price,
KM26 PROJECTS (PTY) LTD,Kwezi,Majebe,2014/101635/07,MAAA0077765,Eastern Cape,Amathole,DOE,2335227.26,
MSIDWE (PTY) LTD,Sindiswa,Mdolo,2019/557023/07,MAAA0856072,Eastern Cape,Joe Gqabi,DOE,2329143.57,
DIKHA GENERAL TRADING,Tsepiso,Thabane,2006/182291/23,MAAA0113773,Eastern Cape,OR Tambo,DOE,2323902.32,
"LIYEMA ADVERTISING &
EVENTS PROMOTION",Chuma,Ntonga,2009/085089/23,MAAA0043690,Eastern Cape,Buffalo City,DOE,2308788.33,
LUCOB HOLDINGS,Lungisa,Nonkwelo,2018/379204/07,MAAA0646267,Eastern Cape,Buffalo City,DOE,2303522.33,
TOGU TRADING & PROJECTS,Siseko,Mda,2006/050150/23,MAAA0080586,Eastern Cape,Buffalo City,DOE,2299734.36,
"UKUBONISANA TRADING AND
PROJECTS CC",Lunga,Dlambulo,2008/076508/23,MAAA0162390,Eastern Cape,Joe Gqabi,DOE,2294069.39,
IKWEZI LOMSO t/a SYRABRITE,ONDELA,TOM,2018/461719/07,MAAA0751015,Eastern Cape,Buffalo City,DOE,2290997.86,
"L NGXABANI PROJECTS (PTY)
LTD",luxolo,ngxabani,2013/007295/07,MAAA0094105,Eastern Cape,Joe Gqabi,DOE,2267244.86,
"THANDONELE INVESTMENT
HOLDINGS",Vuyiseka Ignatia,Mrubata,2013/061769/07,MAAA0070300,Eastern Cape,Joe Gqabi,DOE,2263487.80,
Yema Ideas,Reba,Nkau,2018/297779/07,MAAA0733074,Eastern Cape,Buffalo City,DOH,2260000.00,
VOKUL CONSULTING (PTY) LTD,Unathi,Petros,2013/077651/07,MAAA0912260,Eastern Cape,OR Tambo,DOE,2257457.85,
IKUDA,Kudakwashe Regina,Chindomu,2017/514449/07,MAAA0694191,Eastern Cape,Amathole,DOE,2254771.84,
SEBENZA MKHONTO,Petros,Vantyu,2020/114216/08,MAAA0905189,Eastern Cape,Nelson Mandela Bay,DOE,2253025.32,
