buyer_name,implementation_location_facility,invoice_date,supplier_name,items_description,cost_per_unit_zar,items_quantity,Quantities,order_amount_zar,"Branding other than
 Supplier Name that
 appeared on items"
Department of Justice and Constitutional Development, DPP Limpopo,2020-03-25,CHARMERS,SPRAY BOTTLE,6,2,2,120,None
Department of Justice and Constitutional Development, DPP Limpopo,2020-03-25,CHARMERS,SPRAY BOTTLE,6,4,4,24,None
Department of Justice and Constitutional Development, DPP Limpopo,2020-03-25,CHARMERS,PLASTIC BAG,1,1,1,1,None
Department of Justice and Constitutional Development, DPP Limpopo,2020-03-25,PICK N PAY,SPIRIT VINEGAR WHITE,24.99,1,1,24.99,None
Department of Justice and Constitutional Development, DPP Limpopo,2020-03-25,PICK N PAY,VINEGAR SPIRIT,17.99,1,1,17.99,None
Department of Justice and Constitutional Development, DPP Limpopo,2020-03-25,PICK N PAY,DISHWASHER,99.99,2,2,199.98,None
Department of Justice and Constitutional Development, DPP Limpopo,2020-03-25,PICK N PAY,THIN BLEACH LEMON,45.99,3,3,137.97,None
Department of Justice and Constitutional Development, DPP Limpopo,2020-03-25,PICK N PAY,VINEGAR GRAPE,31.99,1,1,31.99,None
Department of Justice and Constitutional Development, DPP Limpopo,2020-04-15,Mathosim Trimiming and Upholstery,reusable masks,52,120,120,6240,None
Department of Justice and Constitutional Development, DPP Limpopo,2020-04-26,The Inspired Bunny,reusable masks,40,56,56,2240,None
Department of Justice and Constitutional Development, DPP Limpopo,2020-04-28,The Inspired Bunny,reusable masks,40,100,100,4000,None
Department of Justice and Constitutional Development, DPP Limpopo,2020-05-05,THE INSPIRED BUNNY,2 PLY REUSABLE MASK,40,56,56,2240,None
Department of Justice and Constitutional Development, DPP Limpopo,2020-05-20,ZAUKHAKHATA TRADING AND PROJECTS,RE-USABLE FACE MASKS - LIMPOPO,,,,8352,None
Department of Justice and Constitutional Development, DPP Limpopo,2020-05-25,ARK PRINTERS AND STATIONERS,SANITIZERS x 261  - DPP LIMPOPO,,,,79605,None
Department of Justice and Constitutional Development, DPP Limpopo,2020-05-12,MATHOSIM TRIMIMING AND UPHOLSTERY,FACE SHIELD MASK,40,100,100,4000,None
Department of Justice and Constitutional Development, DPP LIMPOPO,2020-01-06,Decontimination of offices,Decontamination,,,0,14000,None
Department of Justice and Constitutional Development, DPP Limpopo,2020-05-28,LUX CHEM,SANITIZA UNIT,650,2,2,1300,None
Department of Justice and Constitutional Development, DPP Limpopo,2020-05-28,LUX CHEM,COURIER CHARGE,350,2,2,700,None
Department of Justice and Constitutional Development, DPP MMABATHO,2020-01-05,Decontimination of offices,Decontamination,,,0,20840.33,None
Department of Justice and Constitutional Development, DPP MMABATHO,2020-01-07,Decontimination of offices,Decontamination,,,0,41680.66,None
Department of Justice and Constitutional Development, DPP Mmabatho,2020-05-18,AFRICAN PONCHO,RE-USABLE FACE MASKS - DPP MMABATHO,,,,8250,None
Department of Justice and Constitutional Development, DPP Mmabatho,2020-05-25,ENKAY TRADING,SANITIZERS x 165 - DPP MMABATHO,,,,44550,None
Department of Justice and Constitutional Development, DPP Mmabatho,2020-08-06,PERMAX MANUFACTURING,TEMPERATURE SCANNERS x 6,,,,8400,None
Department of Justice and Constitutional Development, DPP Mpumalanga,2020-03-24,Clicks Pharmacy,osh tropical whc 90ml,17.99,3,3,53.97,None
Department of Justice and Constitutional Development, DPP Mpumalanga,2020-03-24,Clicks Pharmacy,osh wonder whc 90ml,17.99,6,6,107.94,None
Department of Justice and Constitutional Development, DPP Mpumalanga,2020-03-24,Clicks Pharmacy,wl hand cleanser 90ml,19.99,6,6,119.94,None
Department of Justice and Constitutional Development, DPP Mpumalanga,2020-03-24,Clicks Pharmacy,osh co pom whc 90ml,18.99,9,9,170.91,None
Department of Justice and Constitutional Development, DPP Mpumalanga,2020-03-24,Clicks Pharmacy,osh hh w/l h/clrn 60ml,11.99,15,15,179.85,None
Department of Justice and Constitutional Development, DPP Mpumalanga,2020-03-24,Clicks Pharmacy,osh helping hand 60ml,11.99,45,45,539.55,None
Department of Justice and Constitutional Development, DPP Mpumalanga,2020-03-24,Michem Cleaning Supplies,plastic bottle 750ml,4,8,8,30.4,None
Department of Justice and Constitutional Development, DPP Mpumalanga,2020-03-24,Michem Cleaning Supplies,trigger red,7.75,8,8,58.9,None
Department of Justice and Constitutional Development, DPP Mpumalanga,2020-03-24,Michem Cleaning Supplies,Anti Bac Foam hand sanitizer,90.85,7,7,604.22,None
Department of Justice and Constitutional Development, DPP Mpumalanga,2020-03-24,Michem Cleaning Supplies,Synbac,129.44,9,9,1106.71,None
Department of Justice and Constitutional Development, DPP Mpumalanga,2020-03-24,Mopani Pharmacy,gloves nitrile p/f iltra,94.9,12,12,1138.8,None
Department of Justice and Constitutional Development, DPP Mpumalanga,2020-03-25,Michem Cleaning Supplies,plastic bottle 750ml,6.13,8,8,46.99,None
Department of Justice and Constitutional Development, DPP Mpumalanga,2020-03-25,Michem Cleaning Supplies,trigger white,7.75,8,8,58.9,None
Department of Justice and Constitutional Development, DPP Mpumalanga,2020-03-25,Michem Cleaning Supplies,Anti Bac Foam hand sanitizer,90.86,6,6,517.9,None
Department of Justice and Constitutional Development, DPP Mpumalanga,2020-03-31,Mopani Pharmacy,Aloe Unique Hand cleanser 100ml,32.9,20,20,658,None
Department of Justice and Constitutional Development, DPP Mpumalanga,2020-03-31,SuperSpar Crossings,Twinsaver Hand wipes,29.99,15,15,449.85,None
Department of Justice and Constitutional Development, DPP Mpumalanga,2020-01-04,Mopani Pharmacy,Aloe Unique Hand cleanser 100ml,32.9,15,15,493.5,None
Department of Justice and Constitutional Development, DPP Mpumalanga,2020-01-04,Spar Courtside,Toilet Paper white 2p 18's,89.99,1,1,89.99,None
Department of Justice and Constitutional Development, DPP Mpumalanga,2020-01-04,SuperSpar Crossings,Twinsaver Hand wipes,29.99,15,15,449.85,None
Department of Justice and Constitutional Development, DPP Mpumalanga,2020-04-17,Sovereighty Kingdom,Cloth Face Masks,15,136,136,2040,None
Department of Justice and Constitutional Development, DPP Mpumalanga,2020-04-19,Clicks Pharmacy,sanitizers,29.98,33,33,989.6,None
Department of Justice and Constitutional Development, DPP Mpumalanga,2020-04-19,Sovereighty Kingdom,Cloth Face Masks,15,84,84,1060,None
Department of Justice and Constitutional Development, DPP Mpumalanga,2020-04-19,Sovereighy Kingdom,Cloth face masks,15,220,220,3300,face masks
Department of Justice and Constitutional Development, DPP Mpumalanga,2020-04-05,West Pack lifestyle,1.5l magic hand gel,89.9,14,14,1258.6,hand sanitizers
Department of Justice and Constitutional Development, DPP Mpumalanga,2020-05-18,DIKARABO TRADING CO-OPERATIVE LIMITED,RE-USABLE FACE MASKS - MPUMALANGA,,,,8800,None
Department of Justice and Constitutional Development, DPP Mpumalanga,2020-05-25,RINGANI GOODS AND SERVICES,SANITIZERS x 176 - DPP MPUMALANGA,,,,29920,None
Department of Justice and Constitutional Development, DPP Mpumalanga,2020-02-06,Michem Cleaning Supplies,plastic bottle 750ml,4.5,8,8,36,plastic bottle 750ml
Department of Justice and Constitutional Development, DPP Mpumalanga,2020-02-06,Michem Cleaning Supplies,trigger yellow,12,8,8,96,trigger yellow
Department of Justice and Constitutional Development, DPP Mthatha,2020-03-04,Mdeira Pharmacy,Gloves,,,20 boxes,1417.6,None
Department of Justice and Constitutional Development, DPP Mthatha,2020-08-04,Exclusive Brands Cleaning Products,Sanitisers,434.78,,2 x 5L,999.99,None
Department of Justice and Constitutional Development, DPP Mthatha,2020-04-14,Taboola Textile,Facial mask,16,,160 masks,2560,None
Department of Justice and Constitutional Development, DPP Mthatha,2020-04-15,Charlene Sanitizers,Sanitisers,500,,7 x 5L,3500,None
Department of Justice and Constitutional Development, DPP Mthatha,2020-05-19,B T N N GENERAL TRADING,FACE SHIELDS x 100,,,,5000,None
Department of Justice and Constitutional Development, DPP Mthatha,2020-05-20,SanitiZAEC,Pedal Handstands,650,2,2,1300,None
