Organ of state,Description of Items,Quantity,Total Value,Service Provider Name
Provincial Treasury,Wall Mounted Automatic Hand Sanitizer Dispensers,5,R 33 750,Vinnie Vie Enterprise (Pty) Ltd
Provincial Treasury,Decontamination of Office Spaces,,R 4 680,Segas TTT
Provincial Treasury,Decontamination of Office Spaces,,R 112 499,Segas TTT
Provincial Treasury,Decontamination of Office Spaces,,R 117 800,Segas TTT
Provincial Treasury,Decontamination of Office Spaces,,R 208 840,Tshiretso Pest Control
Provincial Treasury,Decontamination of Office Spaces,,R 29 450,Tshiretso Pest Control
Provincial Treasury,Decontamination of Office Spaces,,R 27 683,Tshiretso Pest Control
Provincial Treasury,Decontamination of Office Spaces,,R 7 657,Tshiretso Pest Control
Provincial Treasury,Decontamination of Office Spaces,,R 14 490,Tshiretso Pest Control
Provincial Treasury,Decontamination of Office Spaces,,R 2 356,Tshiretso Pest Control
Provincial Treasury,Decontamination of Office Spaces,,R 1 178,Tshiretso Pest Control
Provincial Treasury,Decontamination of Office Spaces,,R 1 178,Tshiretso Pest Control
Provincial Treasury,Decontamination of Office Spaces,,R 3 534,Tshiretso Pest Control
Provincial Treasury,Decontamination of Office Spaces,,R 165 425,Thesko Holdings
Provincial Treasury,Decontamination of Office Spaces,,R 251 550,Thesko Holdings
Provincial Treasury,Decontamination of Office Spaces,,R 112 500,Totoo Projects
Provincial Treasury,Temperature Scanners,10,R 24 750,P3 Plus Enterprise
Provincial Treasury,Alcohol Swabs (boxes of 200),500,R 49 995,Lrato T88 Holdings (Pty) Ltd
Provincial Treasury,Goggles / Face-Shield / Viser,400,R 16 100,Setlatleng Trading
Provincial Treasury,Disinfectants 25 litre,120,R 23 400,Perplum Projects
Provincial Treasury,Medical Hand Sanitisers ( 70% Alcohol base) 1 litre,500,R 67 500,Lrato T88 Holdings (Pty) Ltd
Provincial Treasury,Other: Specify: Disposable overalls/ suits,140,R 23 800,Johan D Malan
Education,Mask - Other,-,R 0,GO SQUARED
Education,Liquid Soap 5 litre,900,R 432 000,BOCIAMO
Education,Liquid Soap 5 litre,550,R 275 000,MARUU LOGISTICS
Education,Liquid Soap 5 litre,400,R 248 000,OEM TRADING
Education,Liquid Soap 5 litre,1 100,R 493 350,S S V TRADING ENTERPRISES
Education,Temperature Scanners,200,R 330 000,AVM SUPPLIES
Education,Temperature Scanners,93,R 158 100,Betmotsh Trading and Projects
Education,Temperature Scanners,200,R 460 000,BOISANGOS 83 TRADING AND PROJECTS
Education,Temperature Scanners,200,R 460 000,BOISANGOS 83 TRADING AND PROJECTS
Education,Temperature Scanners,200,R 365 000,"BOSUPI PROJECTS AND EVENTS
MANAGEMENT"
Education,Temperature Scanners,63,R 62 999,Chapters28 Production
Education,Temperature Scanners,-,R 0,DITSHEPISO SUPPLIERS
Education,Temperature Scanners,170,R 357 000,Doko's Design
Education,Temperature Scanners,200,R 390 000,GADIFELE CIVILS AND PROJECTS
Education,Temperature Scanners,70,R 98 000,Gadifele Civils and Projects
Education,Temperature Scanners,200,R 420 000,INTEZIV CIVILS AND PROJECTS
Education,Temperature Scanners,109,R 185 300,Kayleb Trading
Education,Temperature Scanners,200,R 386 400,"KOBUA CONTRACTORS AND BUSINESS
ENTERPRIS"
Education,Temperature Scanners,200,R 430 000,LYMPO HEALTHCARE
Education,Temperature Scanners,-,R 0,"MAANO GAARETELELWE CONSULTING AND
OTHER"
Education,Temperature Scanners,200,R 344 000,Mafbreeze Trading
Education,Temperature Scanners,-,R 0,MAMAWATLE HOLDINGS
Education,Temperature Scanners,200,R 400 000,MBOK'ONDLOVU BUSINESS ENTERPRISE
Education,Temperature Scanners,200,R 320 000,"MOSIMANETHEBE CONSTRUCTIONS AND
TRADING"
Education,Temperature Scanners,50,R 104 000,R X D LOGISTICS 9
Education,Temperature Scanners,200,R 416 000,R X D LOGISTICS 9
Education,Temperature Scanners,200,R 390 000,SKYTEE TRADING AND PROJECTS
Education,Temperature Scanners,200,R 380 000,TLTK TRADING AND PROJECTS
Education,Temperature Scanners,200,R 350 000,TSHEDIMOSO THAMAGA HOLDINGS
Education,Temperature Scanners,200,R 420 000,URBAN BUBBLZ PROJECTS
Education,Temperature Scanners,50,R 48 000,Van Toeka Af Tainment
Education,Temperature Scanners,200,R 370 000,VIBRANT RL ENTERPRISE
Education,Temperature Scanners,200,R 370 000,WHITE EMALAHLENI TRADING
"Cooperative Governance
and Traditional Affairs",Mask - N95,,,
"Cooperative Governance
and Traditional Affairs",Mask - Surgical,4 000,R 106 600,Bioloica Pharmaceuticals (PTY) LTD
"Cooperative Governance
and Traditional Affairs",Gloves - Surgical & Examination - Natural Rubber Latex,40,R 1 840,PROMED TECHNOLOGIES
"Cooperative Governance
and Traditional Affairs",Gloves - Heavy Duty,20,,Bidvest Steiner
"Cooperative Governance
and Traditional Affairs",Mask - Other,400,R 14 000,SOLID SWEET
"Cooperative Governance
and Traditional Affairs",Mask - Other,1 000,R 28 750,PRODUCTION X
"Cooperative Governance
and Traditional Affairs",Aprons,4 000,R 1 280,"Commodity not specified (ml's and alcohol
volume not specified)"
"Cooperative Governance
and Traditional Affairs",Medical Hand Sanitisers ( 70% Alcohol base) 500ml,400,R 39 400,TARA TECHNOLOGIES CC
"Cooperative Governance
and Traditional Affairs","Medical Hand Sanitisers (Refill ) -  ( 70% Alcohol base) 25
litre",10,R 34 500,"LOGAN MEDICAL AND SURGICAL
SUPPLIES CC"
"Cooperative Governance
and Traditional Affairs","Medical Hand Sanitisers (Refill ) -  ( 70% Alcohol base) 25
litre",15,R 27 000,SOLID SWEET
"Cooperative Governance
and Traditional Affairs",Disinfectants 25 litre,10,,BIOLOGICA PHARMACEUTICAL
"Cooperative Governance
and Traditional Affairs",Temperature Scanners,10,,BIOLOGICA PHARMACEUTICALS
"Cooperative Governance
and Traditional Affairs",Temperature Scanners,20,R 20 631,SUPREME MEDICAL SOLUTIOMS
"Cooperative Governance
and Traditional Affairs",Spray Machines/Bottles,20,R 211,Bidvest Steiner
"Cooperative Governance
and Traditional Affairs",Spray Machines/Bottles,30,R 707,SAKKIES & PAKKIES CC
"Cooperative Governance
and Traditional Affairs",Spray Machines/Bottles,30,R 276,SAKKIES & PAKKIES CC
"Cooperative Governance
and Traditional Affairs",Spray Machines/Bottles,20,R 245,Bidvest Steiner
"Cooperative Governance
and Traditional Affairs",Other: Specify: Liquid Disp 1lt E Valve System,30,R 660,Bidvest Steiner
"Cooperative Governance
and Traditional Affairs",Other: Specify: Anti Bacteria Soap,60,R 1 420,Bidvest Steiner
Public Works and Roads,Decontamination of Office Spaces,,R69 431.25,Abangani
Public Works and Roads,Decontamination of Office Spaces,24 400,610 590.00,Thebe Ya Afrika
Public Works and Roads,Decontamination of Office Spaces,,R8 327.50,Kedigorositse Construction Project
Public Works and Roads,Decontamination of Office Spaces,,R10 500.00,Senne Projects
Public Works and Roads,Decontamination of Office Spaces,,R10 029.00,Kedigorositse Construction Project
Public Works and Roads,Medical Hand Sanitisers ( 70% Alcohol base) 25 litre,,R112 125.00,Kevali Chem Group
Public Works and Roads,Mask - Other,,R220 800.00,Leratogape GS
Public Works and Roads,,,R42 665.00,Genplay
Public Works and Roads,Goggles / Face-Shield / Viser,,R16 100.00,Leseka Techguard
Public Works and Roads,Wall Mounted Automatic Hand Sanitizer Dispensers,,R469 248.30,Agoti Consulting
Public Works and Roads,Decontamination of Office Spaces,,R141 790.40,Pest Control Specialist as Rasmie
Public Works and Roads,,,R30 222.00,Supra Health Care
Public Works and Roads,Disinfectants 5 litre,,R51 750.00,Promed Technologies
Public Works and Roads,Medical Hand Sanitisers ( 70% Alcohol base) 250ml,,R172 500.00,BioTech Laboratories
Public Works and Roads,Mask - Other,,R113 100.00,African Poncho
Public Works and Roads,Decontamination of Office Spaces,,R5 125.00,Omnipresent Holdings
Public Works and Roads,Decontamination of Office Spaces,,R12 108.00,Reamo Business
Public Works and Roads,Decontamination of Office Spaces,,233 760.00,"KEDIGOROSITSE CONSTRUCTION AND
PROJECTS"
Public Works and Roads,Decontamination of Office Spaces,,12 650.00,Rasmie
Public Works and Roads,Aprons,,R58 000.00,LENEO SUPPLIERS
Public Works and Roads,,,R129 445.00,LEKONCHA
Public Works and Roads,Wall Mounted Manual Foot-Press Sanitizer Dispensers,,R251 116.00,TAUNG PROPERTIES
Public Works and Roads,,,R189 000.00,BIZ AT TRADING
Public Works and Roads,,,R216 000.00,VERO N CARO TRADING
Public Works and Roads,,,R162 000.00,Elliot &Eldah Construction and Coleri
Public Works and Roads,,,R63 000.00,MABERO
Public Works and Roads,Mask - Other,6 000,R150 000.00,HOPE TO SUCCESS
Public Works and Roads,Decontamination of Office Spaces,,R111 268.00,LUNCHEN TRADING
Public Works and Roads,Decontamination of Office Spaces,,R63 479.00,VAPOMAX TRADING
Public Works and Roads,Decontamination of Office Spaces,,R46 410.00,ECHO TRADING LOGISTICS
Public Works and Roads,Decontamination of Office Spaces,,R95 232.00,LARONA GAB CONSTRUCTION
Public Works and Roads,Decontamination of Office Spaces,,R71 298.00,ECHO TRADING LOGISTICS
Public Works and Roads,Decontamination of Office Spaces,,R133 879.00,KEBITSAMANG DISTRIBUTION
Social Development,Mask - Surgical,7 500,R 312 500,Absolute & Olwe2 Project Management
Social Development,Mask - Other,7 000,R 157 000,Nathi Zoli
Social Development,Gloves - Heavy Duty,1 000,R 55 000,
Social Development,Medical Hand Sanitisers ( 70% Alcohol base) 500ml,3 008,R 241 732,"Olwe2 Project Management & Lechoba
Medical Supplies"
Agriculture and Rural Development,Mask - Other,800,R 44 000,Lebafelo Trading
Agriculture and Rural Development,Gloves - Surgical & Examination - Nitrile Rubber Latex,30,R 7 470,Remmogo
Agriculture and Rural Development,Goggles / Face-Shield / Viser,28,R 2 100,Remmogo
Agriculture and Rural Development,Disposable Aprons,10,R 1 190,Remmogo
Agriculture and Rural Development,Disinfectants 25 litre,30,R 38 970,Remmogo
Agriculture and Rural Development,Temperature Scanners,14,R 19 586,Remmogo
Agriculture and Rural Development,Spray Machines/Bottles,400,R 14 000,Remmogo
Agriculture and Rural Development,Wall Mounted Automatic Hand Sanitizer Dispensers,3,R 950,PLM Tswello
Agriculture and Rural Development,Decontamination of Office Spaces,,R 32 072,Reyakopele
Agriculture and Rural Development,Decontamination of Office Spaces,,R 28 600,Modera Business
Agriculture and Rural Development,Decontamination of Office Spaces,,R 18 900,Makgaga farming
Agriculture and Rural Development,Decontamination of Office Spaces,,R 24 338,Atlegang Garden
Agriculture and Rural Development,Decontamination of Office Spaces,,R 29 955,107 Marcus Construction
Agriculture and Rural Development,Decontamination of Office Spaces,,R 25 254,Mphe Dijo
Agriculture and Rural Development,Decontamination of Office Spaces,,R 28 000,BD Majaestro
Agriculture and Rural Development,Decontamination of Office Spaces,,R 12 758,Kgabo Bakwena
Agriculture and Rural Development,Other: Specify: Wall bin plastic small,6,R 1 500,PLM Tswello
Agriculture and Rural Development,Other: Specify: Golden Touch Soap dispenser,6,R 1 680,PLM Tswello
Agriculture and Rural Development,Other: Specify: Sanitary towel bin 19 litres,6,R 3 000,PLM Tswello
Agriculture and Rural Development,Other: Specify: Desk shield,9,R 10 800,Remmogo
Agriculture and Rural Development,"Other: Specify: Golden Touch folded paper
dispenser",12,R 6 600,PLM Tswello
Agriculture and Rural Development,"Other: Specify: Toilet seat wipe dispenser plastic 3
pin",12,R 3 000,PLM Tswello
Agriculture and Rural Development,Other: Specify: Breese airfreshner dispenser white,6,R 1 740,PLM Tswello
Agriculture and Rural Development,Other: Specify: Surface sanitisetr 400ml,200,R 13 800,Remmogo
Agriculture and Rural Development,Other: Specify: Social Distancing stickers,150,R 36 400,Remmogo
Agriculture and Rural Development,"Other: Specify: Supply , delivery And Installation of
Water Tanks And Stands",,R 27 700,Remmogo
