buyer_name,implementation_location_province,Place,items_description,supplier_name,order_amount_zar
"Northern Cape Department of Transport, Safety and Liaison",Northern Cape,"Transport, Safety and Liaison",Disnfecting of Colesburg Building,"KEMOAGILE CONSTRUCTION
MANAGEMENT",608.00
"Northern Cape Department of Transport, Safety and Liaison",Northern Cape,"Transport, Safety and Liaison",Disnfecting of Britstown Building,"KEMOAGILE CONSTRUCTION
MANAGEMENT",560.00
"Northern Cape Department of Transport, Safety and Liaison",Northern Cape,"Transport, Safety and Liaison",Disnfecting of Calvinia Building,"KEMOAGILE CONSTRUCTION
MANAGEMENT",608.00
"Northern Cape Department of Transport, Safety and Liaison",Northern Cape,"Transport, Safety and Liaison",Disnfecting of Namaqua Building,"KEMOAGILE CONSTRUCTION
MANAGEMENT",2515.44
"Northern Cape Department of Transport, Safety and Liaison",Northern Cape,"Transport, Safety and Liaison",Disnfecting of Namaqua Building,MOHNA,51788.10
"Northern Cape Department of Transport, Safety and Liaison",Northern Cape,"Transport, Safety and Liaison",Deep Clean Emergency call out,A-Z TRADING,500.00
"Northern Cape Department of Transport, Safety and Liaison",Northern Cape,"Transport, Safety and Liaison",Decontaimination of  all infeced area fogging and wipe down,A-Z TRADING,22380.00
"Northern Cape Department of Transport, Safety and Liaison",Northern Cape,"Transport, Safety and Liaison",Decontaimination of  all infeced area (traveling and accomodations),A-Z TRADING,12744.90
"Northern Cape Department of Transport, Safety and Liaison",Northern Cape,"Transport, Safety and Liaison",Decontaimination of infeced area fogging  Parking lot,A-Z TRADING,27000.00
"Northern Cape Department of Transport, Safety and Liaison",Northern Cape,"Transport, Safety and Liaison",Specialised disnfection with GermX alcohol based products & Decontamination fogging charged per square meter,A-Z TRADING,74681.00
"Northern Cape Department of Transport, Safety and Liaison",Northern Cape,"Transport, Safety and Liaison",Decontaimination of  all Surfaces and touch area with alcohol fogging,A-Z TRADING,1062.50
"Northern Cape Department of Transport, Safety and Liaison",Northern Cape,"Transport, Safety and Liaison",Deep Clean Emergency call out,A-Z TRADING,500.00
"Northern Cape Department of Transport, Safety and Liaison",Northern Cape,"Transport, Safety and Liaison",Specialised disnfection with GermX alcohol based products & Decontamination fogging charged per square meter: Kimberley Weigh Bridge,A-Z TRADING,569.70
"Northern Cape Department of Transport, Safety and Liaison",Northern Cape,"Transport, Safety and Liaison","Specialised disnfection with GermX alcohol based products & Decontamination fogging charged per
Square meter: Upington",A-Z TRADING,344.28
"Northern Cape Department of Transport, Safety and Liaison",Northern Cape,"Transport, Safety and Liaison","Specialised disnfection with GermX alcohol based products & Decontamination fogging charged per
Square meter: Springbok",A-Z TRADING,344.25
"Northern Cape Department of Transport, Safety and Liaison",Northern Cape,"Transport, Safety and Liaison","Specialised disnfection with GermX alcohol based products & Decontamination fogging charged per
Square meter: Colesburg",A-Z TRADING,596.70
Northern Cape Office of the Premier,Northern Cape,Office of The Premier,Disinfecting and sanitising,ROSS CARPERTS,14446.00
Northern Cape Environmental Affairs and Nature Conservation,Northern Cape,"Environment and Nature
Conservation","Sanitising and Disinfecting of Regional Offices: Calvinia, Springbok, Goegap, Oorlogskloof",LERWANA PEST CONTROL & HYGIENE,70093.00
Northern Cape Environmental Affairs and Nature Conservation,Northern Cape,"Environment and Nature
Conservation",Sanitising and Disinfecting of Regional Offices: Pixley Ka-Seme District,BEST ENOUGH TRADING PROJECTS 287,67455.00
Northern Cape Environmental Affairs and Nature Conservation,Northern Cape,"Environment and Nature
Conservation",Sanitising and Disinfecting of Regional Offices: SASKO Building,HOHLE PEST CONTROL & CHEMICAL,55710.00
Northern Cape Environmental Affairs and Nature Conservation,Northern Cape,"Environment and Nature
Conservation",Sanitising and Disinfecting of Head Office: (Sasko Building),HOHLE PEST CONTROL & CHEMICAL,34085.00
Northern Cape Environmental Affairs and Nature Conservation,Northern Cape,"Environment and Nature
Conservation",Sanitising and Disinfecting of Head Office: (Sasko Building),OMV HOLDINGS,1820.00
