TI,,,,Infrared Non Contact,TI  Each,,"R2 400,00 1000","R2 400 000,00 |S Trading Ente:",,,,
Education,,Di,Pump.,16Litres Spray pump,,Each,"R1 695,00 133","R225 435,00 Espani Outsourcing",,,,
,,DI,Pump,5 Litres Spray pump,,Each,"R995,00 271","R269 645,00 Espanl Or",,,,
Education,,2020/05/22 Dispensers,Knapsack sprayers,16 Litres Spray pump,,Each,"R2 070,00 1000","R2 070 000,00 | Amakhono Capital",,,,
i,,2020/05/22 Di,Knapsack,sprayers 16 Litres Spray pump,,Each,"R1 750,00 1000","R1 750 000,00 | MKV i",,,,
,,Di,Knapsack sprayers,16Litres Spray pump,,Each,"R1 898,64 2000","R3 797 280,00 | F",,,,
,,,Tl,Infrared Non Contact,TI,Each,"R2 300,00 1000","R2 300 000,00 | Ogabasin Holdings.",,,,
,,,TI,Infrared Non Contact,TI,Each,"R2 043,47 3000","R6 130 410,00 | Oshlanga",,,,
,,,Tr,Infrared Non Contact,TI,Each,"R2 000,00 2200","R4 400 000,00 | Blue jay D",,,,
,,PPE,Visor! Face-Shield,Visors,,Each,"R80,00 49500","R3 960 000,00 | Assetrack Ta",,,,
,,Dis,Knapsack,sprayers 16 Litres Spray pump,,Each,"R1 495,00 600","R897 000,00 38 Avenue Business Project",,,,
,,Gloves,Gloves,Re-usable gloves,,Each,"R105,00 12000","R1 260 000,00 | Ka-Myaluza (Pty) Ltd",,,,
,,Dis,ip,sprayers 16 Litres Spray pump,,Each,"R1 400,00 1000","R1 400 000,00 | Rosetta",,,,
,,,Tl,Infrared Non Contact,TI,Each,"R1 850,00 2000","R3 700 000,00 | Hourglass Trading",,,,
Dis,,,Knapsack,sprayers 16 Litres Spray pump  Each,,,"R1 478,27 203","R300 088,81 Assatrack Ter",,,,
,,DI,Knapsack sprayers,16 Litres Spray pump,,Each,"R1 650,00 1000","R1 650 000,00 | Mawise Devel",,,,
,,Dis,Pump.,5 Litres Spray pump.,,Each,"R750,00 1000","R750 000,00 Mbhudu Projects.",,,,
