Region / Office,"Date of
Purchase",Name of Supplier,Description of Items,Unit price,Quantities,Total Amount,"Branding other than
Supplier Name that
appeared on items"
DPP Limpopo,12/5/2020,MATHOSIM TRIMIMING AND UPHOLSTERY,FACE SHIELD MASK,           40.00,100,"                            4,000.00",None
DPP LIMPOPO,6/1/2020,Decontimination of offices,Decontamination,0,0,"                         14,000.00",None
DPP Limpopo,5/28/2020,LUX CHEM,SANITIZA UNIT,         650.00,2,"                            1,300.00",None
DPP Limpopo,5/28/2020,LUX CHEM,COURIER CHARGE,         350.00,2,                               700.00,None
DPP MMABATHO,5/1/2020,Decontimination of offices,Decontamination,0,0,"                        20,840.33",None
DPP MMABATHO,7/1/2020,Decontimination of offices,Decontamination,0,0,"                         41,680.66",None
DPP Mmabatho,5/18/2020,AFRICAN PONCHO,RE-USABLE FACE MASKS - DPP MMABATHO,,,"                           8,250.00",None
DPP Mmabatho,5/25/2020,ENKAY TRADING,SANITIZERS x 165 - DPP MMABATHO,,,"                          44,550.00",None
DPP Mmabatho,6/8/2020,PERMAX MANUFACTURING,TEMPERATURE SCANNERS x 6,,,"                            8,400.00",None
DPP Mpumalanga,3/24/2020,Clicks Pharmacy,osh tropical whc 90ml,           17.99,3,                                 53.97,None
DPP Mpumalanga,3/24/2020,Clicks Pharmacy,osh wonder whc 90ml,           17.99,6,                               107.94,None
DPP Mpumalanga,3/24/2020,Clicks Pharmacy,wl hand cleanser 90ml,           19.99,6,                               119.94,None
DPP Mpumalanga,3/24/2020,Clicks Pharmacy,osh co pom whc 90ml,           18.99,9,                               170.91,None
DPP Mpumalanga,3/24/2020,Clicks Pharmacy,osh hh w/l h/clrn 60ml,           11.99,15,                               179.85,None
DPP Mpumalanga,3/24/2020,Clicks Pharmacy,osh helping hand 60ml,           11.99,45,                               539.55,None
DPP Mpumalanga,3/24/2020,Michem Cleaning Supplies,plastic bottle 750ml,             4 .00,8,                                 30.40,None
DPP Mpumalanga,3/24/2020,Michem Cleaning Supplies,trigger red,             7 .75,8,                                 58.90,None
DPP Mpumalanga,3/24/2020,Michem Cleaning Supplies,Anti Bac Foam hand sanitizer,           90.85,7,                               604.22,None
DPP Mpumalanga,3/24/2020,Michem Cleaning Supplies,Synbac,         129.44,9,"                            1,106.71",None
DPP Mpumalanga,3/24/2020,Mopani Pharmacy,gloves nitrile p/f iltra,           94.90,12,"                            1,138.80",None
DPP Mpumalanga,3/25/2020,Michem Cleaning Supplies,plastic bottle 750ml,             6 .13,8,                                 46.99,None
