implementation_location_facility,invoice_date,supplier_name,items_description,cost_per_unit_zar,items_quantity,Quantities,order_amount_zar,"Branding other than
 Supplier Name that
 appeared on items"
 DPP Limpopo,2020-05-05,THE INSPIRED BUNNY,2 PLY REUSABLE MASK,40.00,56,56,2240.00,None
 DPP Limpopo,2020-05-20,ZAUKHAKHATA TRADING AND PROJECTS,RE-USABLE FACE MASKS - LIMPOPO,,,,8352.00,None
 DPP Limpopo,2020-05-25,ARK PRINTERS AND STATIONERS,SANITIZERS x 261  - DPP LIMPOPO,,,,79605.00,None
 DPP Limpopo,2020-05-12,MATHOSIM TRIMIMING AND UPHOLSTERY,FACE SHIELD MASK,40.00,100,100,4000.00,None
 DPP LIMPOPO,2020-01-06,Decontimination of offices,Decontamination,0,,0,14000.00,None
 DPP Limpopo,2020-05-28,LUX CHEM,SANITIZA UNIT,650.00,2,2,1300.00,None
 DPP Limpopo,2020-05-28,LUX CHEM,COURIER CHARGE,350.00,2,2,700.00,None
 DPP MMABATHO,2020-01-05,Decontimination of offices,Decontamination,0,,0,20840.33,None
 DPP MMABATHO,2020-01-07,Decontimination of offices,Decontamination,0,,0,41680.66,None
 DPP Mmabatho,2020-05-18,AFRICAN PONCHO,RE-USABLE FACE MASKS - DPP MMABATHO,,,,8250.00,None
 DPP Mmabatho,2020-05-25,ENKAY TRADING,SANITIZERS x 165 - DPP MMABATHO,,,,44550.00,None
 DPP Mmabatho,2020-08-06,PERMAX MANUFACTURING,TEMPERATURE SCANNERS x 6,,,,8400.00,None
 DPP Mpumalanga,2020-03-24,Clicks Pharmacy,osh tropical whc 90ml,17.99,3,3,53.97,None
 DPP Mpumalanga,2020-03-24,Clicks Pharmacy,osh wonder whc 90ml,17.99,6,6,107.94,None
 DPP Mpumalanga,2020-03-24,Clicks Pharmacy,wl hand cleanser 90ml,19.99,6,6,119.94,None
 DPP Mpumalanga,2020-03-24,Clicks Pharmacy,osh co pom whc 90ml,18.99,9,9,170.91,None
