buyer_name,supplier_name,bbbee_status,items_description,items_quantity,items_unit,"(f) Average unit
 price","(g) Date of
 applicable
 National
 Treasury price",order_amount_zar,"(i) Turnaround
 time of
 payment"
Legal Aid South Africa, Homeware and Supermarket,N/A,Dept001- Bottles for sanitisers,Dept001- Bottles for,sNa/nAit isers,N/A,N/A,128,30 days
Legal Aid South Africa, Homeware and Supermarket,N/A,Dept001- Bottles for sanitisers,Dept001- Bottles for,sNa/nAit isers,N/A,N/A,64,30 days
Legal Aid South Africa, Everlasting Green Cleaning Services,N/A,Hand Sanitiser Gel and Hand Sanitiser Liquid,,N/A,N/A,N/A,1384.57,30 days
Legal Aid South Africa,Crystal Tears Investment 205 Pty(LTD),N/A,5 ltr sanitizer,5 ltr sanitizer,N/A,N/A,N/A,400,30 days
Legal Aid South Africa, Dischem,N/A,Wipes & sanitisers,,N/A,N/A,N/A,185.8,30 days
Legal Aid South Africa, Dischem,N/A,Anticeptic Germ Killer,,N/A,N/A,N/A,315.75,30 days
Legal Aid South Africa, Dischem,N/A,Hand Sanitizer,,N/A,N/A,N/A,89.7,30 days
Legal Aid South Africa, Makro,N/A,Hand sanitizer,,N/A,N/A,N/A,699.9,30 days
Legal Aid South Africa, Gosego Trading,N/A,2 Humidifiers,2 Humidifiers,N/A,N/A,N/A,4067.2,30 days
Legal Aid South Africa, Gosego Trading,N/A,6 1.2 Litre Sanitisers,6 1.2 Litre Sanitisers,N/A,N/A,N/A,2249.94,30 days
Legal Aid South Africa, Ndipa Trading,N/A,50 200mLitre Sanitisers,50 200mLitre Sanitis,Nrs/A,N/A,N/A,6325,30 days
Legal Aid South Africa, Ndipa Trading,N/A,100 Face Masks,100 Face Masks,N/A,N/A,N/A,1611,30 days
Legal Aid South Africa, Ndipa Trading,N/A,30 Pairs of gloves medium,30 Pairs of gloves m,Nd/iuAm,N/A,N/A,1464,30 days
Legal Aid South Africa, Ndipa Trading,N/A,70 Pairs of gloves large,70 Pairs of gloves la,gNe/A,N/A,N/A,2300,30 days
Legal Aid South Africa, Columbus Cleaning Solutions,N/A,Hydrosan Disinfectant (5lt),Hydrosan Disinfecta,Nt (/5Al t),N/A,N/A,350,30 days
Legal Aid South Africa, Unknown (information in the office),N/A,Spray Bottles-,,N/A,N/A,N/A,20,30 days
Legal Aid South Africa, Columbus Cleaning Solutions,N/A,G-cide Disinfectant (2x500ml),G-cide Disinfectant (,Nx5/A0 0ml),N/A,N/A,200,30 days
Legal Aid South Africa, Westpack Lifestyle,N/A,Towel Wet wipes,,N/A,N/A,N/A,100,30 days
Legal Aid South Africa, Spar,N/A,Antiseptic Liquid,,N/A,N/A,N/A,70,30 days
Legal Aid South Africa, Kevin Masks,N/A,Disposable face masks,,N/A,N/A,N/A,375,30 days
Legal Aid South Africa, Meatgood supermarket,N/A,Hand soap 5 litre,Hand soap 5 litre,N/A,N/A,N/A,150,30 days
Legal Aid South Africa, Meatgood supermarket,N/A,Detol,,N/A,N/A,N/A,90,30 days
Legal Aid South Africa, Meatgood supermarket,N/A,Empty bottle 10 litre,Empty bottle 10 litre,N/A,N/A,N/A,90,30 days
Legal Aid South Africa, Dinu Factory,N/A,Paper Towel,,N/A,N/A,N/A,90,30 days
Legal Aid South Africa, Local Health Shop,N/A,Musks,,N/A,N/A,N/A,80,30 days
Legal Aid South Africa, Local Health Shop,N/A,Gloves,,N/A,N/A,N/A,80,30 days
Legal Aid South Africa, Local Health Shop,N/A,Additional Musks,,N/A,N/A,N/A,600,30 days
Legal Aid South Africa, Clicks Lyttelton,N/A,2xBiosol 300ml Sanitizer,2xBiosol 300ml Sani,iNze/Ar,N/A,N/A,99.98,30 days
Legal Aid South Africa, Clicks Lyttelton,N/A,1 x 200 ml surgical spirits,1 x 200 ml surgical s,Nir/itAs,N/A,N/A,34.99,30 days
Legal Aid South Africa, Spar Kloofsig,N/A,2x hand santitizers,2x hand santitizers,N/A,N/A,N/A,40.98,30 days
Legal Aid South Africa, Spar Lyttelton,N/A,6 x Hand Sanitizers 190 ml,6 x Hand Sanitizers,9N0/A ml,N/A,N/A,354.94,30 days
Legal Aid South Africa, Chem Pro,N/A,Sanitisers,,N/A,N/A,N/A,390,30 days
Legal Aid South Africa, Berea shop,N/A,Sanitisers,,N/A,N/A,N/A,323.1,30 days
Legal Aid South Africa, Berea shop,N/A,Gloves,,N/A,N/A,N/A,122.4,30 days
Legal Aid South Africa, Sunset Brook,N/A,Sanitisers,,N/A,N/A,N/A,770.5,30 days
Legal Aid South Africa, Amachule Cleaning Services,N/A,Sanitisers,,N/A,N/A,N/A,1145.5,30 days
Legal Aid South Africa, Cube Pharmacy,N/A,Sanitisers,,N/A,N/A,N/A,700,30 days
Legal Aid South Africa, Doreen Van Der Merwe,N/A,Masks,,N/A,N/A,N/A,700,30 days
Legal Aid South Africa, Mustard Seed Health Shop,N/A,Gloves,,N/A,N/A,N/A,156,30 days
Legal Aid South Africa, Quilting & Embroidery studio,N/A,Masks,,N/A,N/A,N/A,350,30 days
Legal Aid South Africa, Quilting & Embroidery studio,N/A,Masks,,N/A,N/A,N/A,175,30 days
Legal Aid South Africa, Woolworths stores,N/A,Sanitisers,,N/A,N/A,N/A,195,30 days
Legal Aid South Africa, KliniPharm parmacy,N/A,Sanitisers,,N/A,N/A,N/A,560,30 days
Legal Aid South Africa, Khanya Cleaning & pest control,N/A,Sanitisers,,N/A,N/A,N/A,977.5,30 days
Legal Aid South Africa, Khanya Cleaning & pest control,N/A,Sanitisers,,N/A,N/A,N/A,1000,30 days
Legal Aid South Africa, Superclean,N/A,Sanitisers,,N/A,N/A,N/A,772.3,30 days
Legal Aid South Africa, Cuyler Pharmacy,N/A,Sanitisers,,N/A,N/A,N/A,370.7,30 days
Legal Aid South Africa, Clicks,N/A,Sanitisers,,N/A,N/A,N/A,600,30 days
Legal Aid South Africa, Pep Stores,N/A,Sanitisers,,N/A,N/A,N/A,336.8,30 days
Legal Aid South Africa, Dischem Polokwane,N/A,"Gloves, Sanitisers and masks",,N/A,N/A,N/A,3553.63,30 days
Legal Aid South Africa, Spar and Montimar services,N/A,Sanitisers and gloves,,N/A,N/A,N/A,3158.9,30 days
Legal Aid South Africa, Clicks,N/A,Gloves and sanitisers,,N/A,N/A,N/A,674.48,30 days
Legal Aid South Africa, ADA Distributors,N/A,"Gloves, Sanitisers and masks",,N/A,N/A,N/A,1135,30 days
Legal Aid South Africa, NPCC Cleaning Distributors,N/A,Sanitisers,,N/A,N/A,N/A,391,30 days
Legal Aid South Africa, Bidvest cleaning,N/A,Sanitisers and gloves,,N/A,N/A,N/A,1970.16,30 days
Legal Aid South Africa, Dichem,N/A,Sanitisers,,N/A,N/A,N/A,897,30 days
Legal Aid South Africa, Trotea Chemist,N/A,Gloves,,N/A,N/A,N/A,377.5,30 days
