buyer_name,supplier_name,items_description,order_amount_zar
Home Affairs,DNS SUPPLIES,DISINFECTING OF OFFICES,107222
Home Affairs,LLTP HOLDINGS,SURGICAL GLOVES,50700
Home Affairs,LLTP HOLDINGS,MASKS,28800
Home Affairs,SULBRINK KIMBERELY,MULTI-PURPOSE CLEANER,7605
Home Affairs,SULBRINK KIMBERELY,HAND SANITIZERS,51277.5
Home Affairs,SULBRINK KIMBERELY,DISINFECTANT,14062.5
Home Affairs,PHORI TRADING,KNAPSACK(PPE),25500
Home Affairs,FG UNIFORM,CLOTH MASK,29988
Home Affairs,STEINER,DISINFECTING OFFICE - KURUMAN,12903.03
Home Affairs,TT GLOBAL TRADING,DISINFECTING OFFICE - COLESBERG,16495
Home Affairs,PHORI MAMZ HOLDINGS,MICROGUARD CHLORIDE BIOCIDES,1920
Home Affairs,EVERGREEN LATEX,Examination Gloves,29911.51
Home Affairs,EVERGREEN LATEX,Surgical Gloves,41438.19
Home Affairs,Designer Culture,Office Dlslnfaction Service,9271.8
Home Affairs,Ellefu Suppliers,Office Disinfact!on Service,6843.1
Home Affairs,Sapu Trading,Office Dlsfnfaction Service,27018.18
Home Affairs,O and D Technologies,Office Dlsinfactlon Service,14050
Home Affairs,Kalahari Business,Office Disinfactlon Service,1988.6
Home Affairs,Legoale Construction,Office Dislnfactlon Service,15235.2
Home Affairs,Traffic Cleaning,Office Dislnfaction Service,15990.78
Home Affairs,Jojo Dlstributers,Office Disinfaction Servlce,14646
Home Affairs,Jojo Distributers,Office Dlslnfaction Service,7098
Home Affairs,TPM Travel Enterprise,Office Dlslnfactlon Service,29459.79
Home Affairs,The Black Wrack,Office D(sinfaction Service,19814.37
Home Affairs,LO Thamaga,Office Dlslnfaction Service,10430.5
Home Affairs,Flness Trading,Office Dislnfact!on Service,16084.8
Home Affairs,Aglsanang Women,Office Dlslnfaction Service,10173.8
Home Affairs,Designer Culture,Office Disinfactlon Service,2750
Home Affairs,KPLX Africa,Office Dislnfactlon Service,9330
Home Affairs,KPLX Africa,Office Dlslnfaction Service,22200
Home Affairs,M M B  Trading and Projects,Dlsposable Masks,74880
Home Affairs,Angieochem,Cloth Masks,27500
Home Affairs,Matopana Retails and Projects,Sanitizer,84992
Home Affairs,Matopana Retails and Projects,SOO ml Surface Disinfactant Cleaner,2676
Home Affairs,Matopana Retails and Projects,500 ml Trigger Spray Bottle,3250
Home Affairs,Matopana Retails and Projects,16 Litre Knapsack Hand Operated Pressure Spray,9900
Home Affairs,Matopana Retails and Projects,Visor Face Shield,5057
Home Affairs,Matopana Retafls and Projects,Plastic Apron,2509
Home Affairs,EVERGREEN LATEX,Gloves,23828
Home Affairs,Dandri Hatchery & Chemicals,Gloves,1400
Home Affairs,Dandrl Hatchery & Chemicals,SanitizersSpray Bottle,1500
Home Affairs,Dandri Hatchery & Chemicals,SanltizersSpray Bottle,1500
Home Affairs,Dandrl Hatchery & Chemicals,SanltizersSpray Bottle,1500
Home Affairs,Dandrl Hatchery & Chemicals,SanltizersSpray Bottle,1500
Home Affairs,Dandrl Hatchery & Chemicals,SanitizersSpray Bottle,1500
Home Affairs,DandrJ Hatchery & Chemicals,SanitizersSpray Bottles,420
Home Affairs,SIGMA Safety Solutions,Masks,101250
Home Affairs,M M B  Trading and Projects,SanltizersSpray Bottles,98700
Home Affairs,GIGANTIC CONSORTIUM,BIO HAZARD WASTE BAGS,26654.4
Home Affairs,TRIPLE 3 SERVICES,S LITRE PRESURISED SPRAY,7875
Home Affairs,JRJ TRADING AND BUSINESS ENTERPRISE PTY LTD,DISPOSABLE BODY COVERALLS,15345
Home Affairs,JRJ TRADING AND BUSINESS ENTERPRISE PTV LTD,DISPOSABLE BOOTCOVERS,6249.6
Home Affairs,DESIGN 26,CLOTH MASKS- BLUE PLEATED,24035
Home Affairs,DESIGN 26,CLOTH MASKS- BLUE PLEATED,32775
Home Affairs,DESIGN 26,CLOTH MASKS- BLUE PLEATED,21850
Home Affairs,DESIGN 26,CLOTH MASKS- BLUE PLEATED,43700
Home Affairs,ITSTYM GENERAL TRADING,SURGICAL MASKS (3PLY STANDARD EAR LOOP FACE MASK),44999
Home Affairs,THE SPECIALIST FRANCHISE,FUMIGATION,84261.36
Home Affairs,THE SPECIALIST FRANCHISE,FUMIGATION,190704.5
Home Affairs,Al NASWA FUMIGATION,FUMIGATION,28500
Home Affairs,UVP VELTOPARK,PLASTIC FACE SHIELS,2000
Home Affairs,UVP VEL TOP ARK,PLASTIC FACE SHIELDS,2000
Home Affairs,UVP VEL TO PARK,PLASTIC FACE SHIELDS,2000
Home Affairs,UVP VELTOPARK,PLASTIC FACE SHIELDS,2000
Home Affairs,UVP VELTOPARK,PLASTIC FACE SHIELDS,2000
Home Affairs,WAYMAKER SHE SUPPORT SERVICES,SURGICAL GLOVES,2000
Home Affairs,LINGS DEPARTMENT SOTE,HAND SANITIZER,229
Home Affairs,OVERBERG AGRI,SPRAY - MARKlNGS FOR SOCIAL DISTANCING,158.4
Home Affairs,PICK N PAY,BATTERIES FOR THEMOMETERS,279.98
Home Affairs,LIZAHN SEWING,FACE MASK,700
Home Affairs,LAMBS CHEMICAL MANUFACTURER,HAND SANITIZER,1150
Home Affairs,LAMBS CHEMICAL MANUFACTURER,HAND SANITIZER,1127
Home Affairs,LAMBS CHEMICAL MANUFACTURER,HAND SANITIZER,1127
Home Affairs,LAMBS CHEMICAL MANUFACTURER,HAND SANITIZER,1127
Home Affairs,LAMBS CHEMICAL MANUFACTURER,HAND SANITIZER,1127
Home Affairs,LAMBS CHEMICAL MANUFACTURER,HAND SANITIZER,1127
Home Affairs,LAMBS CHEMICAL MANUFACTURER,HAND SANITIZER,1127
Home Affairs,LAMBS CHEMICAL MANUFACTURER,HAND SANITIZER,1127
Home Affairs,LAMBS CHEMICAL MANUFACTURER,HAND SANITIZER,1127
Home Affairs,LECHOBA MEDICAL TECHNOLOGIES,HAND SANITIZER,91125
Home Affairs,LECHOBA MEDICAL TECHNOLOGIES,HANO SANITIZER,189540.04
Home Affairs,EDEN MEDICAL SUPPLIES,MEDICAL GLOVES,611.96
Home Affairs,BOLAND PACKING EMBS,HAND SANITIZER,365.5
Home Affairs,BOLAND PACKING EMBS,"SPRAY"" MARKINGS FOR SOCIAL DISTANCING",992
Home Affairs,BRIGHTS HARDWARE,BATTERIES FOR THEMOMETERS,119.95
Home Affairs,SPAR,BATTERIES FOR THEMOMETERS,199.99
Home Affairs,CHEMICAL CITY,HAND SANITIZER,204
Home Affairs,LIFESTYLE FABRICS CURTAINS,CLEANING MATERIAL,83.95
Home Affairs,TlKEDl HOLDING,CLEANING SERVICES,5787.5
Home Affairs,TRUEGAURD SECURITY AND HYGIENE,CLEANING SERVICES,5860
Home Affairs,LIFO LUFESTYLE MANAGEMENT,CLEANING SERVICES,5980
Home Affairs,Ubuntu sourcing,Gloves,750
Home Affairs,BEE-INFORMED (Gloves),Gloves,100
Home Affairs,Unlversal pulse trading,Sanitisers,1100
Home Affairs,Universal pulse trading,Masks,2080
Home Affairs,Universal pulse trading,Sanitisers,1192
Home Affairs,Universal pulse trading,Masks,1100
Home Affairs,Unlversal pulse trading,Masks,1100
Home Affairs,Universal pulse trading,Masks,1100
Home Affairs,Universal pulse trading,Sanitisers,1490
Home Affairs,Universal pulse trading,Sanitisers,845
Home Affairs,Universal pulse trading,Sanitisers,149
Home Affairs,Universal pulse trading,Sanitisers,1100
Home Affairs,Universal Safety Products,Masks,20010
Home Affairs,BEE-INFORMED (Sanitiser),Sanitisers,5800
Home Affairs,Motheo W Rona,Gloves,9000
Home Affairs,Motheo W Rona,Mask,110000
Home Affairs,Baju,Sanitisers,55000
Home Affairs,Baju,Sanitisers,47437.5
Home Affairs,Baju,Disinfectants,167970
Home Affairs,Baju,Disinfectants,70827.35
