buyer_name,supplier_name,items_description,order_amount_zar,items_quantity
Department of Defence (DoD), MIA and PK Trading Projects (Pty) Ltd,Surgical Gloves,620000.00,1772
Department of Defence (DoD), MILANI,Masks: Surgical,108000.00,60 000
Department of Defence (DoD), MILONI SERVICES,Masks: Surgical,777000.00,60 000
Department of Defence (DoD), Mimizar Consulting,Masks: Surgical,1080800.00,60 000
Department of Defence (DoD), Mimizar Consulting,Surgical Gloves,760000.00,2 000
Department of Defence (DoD), Mirandaanel Trading Enterprise,Surgical Gloves,760000.00,2 000
Department of Defence (DoD), MIXO AND OUPA CONSTRUCTION & PROJECTS,Masks: Surgical,774000.00,60 000
Department of Defence (DoD), Mmadilebogeng Trading,Masks: Surgical,123000.00,10 000
Department of Defence (DoD), Mmakosha Kekana Consulting,Masks: Surgical,123000.00,10 000
Department of Defence (DoD), Mmamorena Thapelong (Pty) Ltd,Masks: Surgical,2072000.00,80 000
Department of Defence (DoD), Mmamorena Thapelong (Pty) Ltd,Surgical Gloves,760000.00,2 000
Department of Defence (DoD), MMAPHEFO MALAHLELA DEV PROJ (PTY) LTD,Surgical Gloves,2240000.00,6 000
Department of Defence (DoD), MMIH Mac Moleli Investment Holdings,Masks: Surgical,500000.00,20 000
Department of Defence (DoD), MMND ENGINEERING,Masks: Surgical,888000.00,60 000
Department of Defence (DoD), MN Group (Pty) Ltd,Masks: Surgical,8300500.00,300 000
Department of Defence (DoD), Mngezi Group,Surgical Gloves,760000.00,2 000
Department of Defence (DoD), Mof Trading,Masks: Surgical,720000.00,12 000
Department of Defence (DoD), Mogorona O Teng,Surgical Gloves,760000.00,2 000
Department of Defence (DoD), Mojere Construction,Masks: Surgical,2100000.00,100 000
Department of Defence (DoD), MOKGATSHELWA TRADING,Masks: Surgical,1080000.00,60 000
Department of Defence (DoD), Mont Garge Projects,Masks: Surgical,747000.00,60 000
Department of Defence (DoD), Mont Garge Projects,Surgical Gloves,760000.00,2 000
Department of Defence (DoD), Moraka Wa Lesana Enterprise,Masks: Surgical,530000.00,20 000
Department of Defence (DoD), Moreje Construction,Masks: Surgical,1680000.00,80 000
Department of Defence (DoD), Morumbi Trading and Projects,Surgical Gloves,760000.00,2 000
Department of Defence (DoD), MORUWANE TRADING & PROJECTS (PTY) LTD,Masks: Surgical,780000.00,60 000
Department of Defence (DoD), Morwamokuru Trading,Surgical Gloves,33352.00,93
Department of Defence (DoD), Mosadi Mokgabo,Masks: Surgical,795000.00,30 000
Department of Defence (DoD), Motswaledi Moeketsi,Masks: Surgical,123000.00,10 000
Department of Defence (DoD), MPAFANE PRIMARY CO-OPERATIVE,Masks: Surgical,777000.00,60 000
Department of Defence (DoD), MPAHLA YAMI TRADING AND PROJECTS,Masks: Surgical,780000.00,60 000
Department of Defence (DoD), Mphela Kanyane Holdings,Masks: Surgical,2120000.00,80 000
Department of Defence (DoD), Mphuma Supply and Services,Masks: Surgical,530000.00,20 000
Department of Defence (DoD), MR FIRST AID,Surgical Gloves,51599.00,600
Department of Defence (DoD), Ms Makgoba Transport,Masks: Surgical,123000.00,10 000
Department of Defence (DoD), Mtimande Logistics Consultant (Pty) Ltd,Masks: Surgical,750000.00,60 000
Department of Defence (DoD), Mtimande Logistics Consultant (Pty) Ltd,Hand Scanners,381150.00,100
Department of Defence (DoD), Mtsetweni Vukosi,Surgical Gloves,760000.00,2 000
Department of Defence (DoD), MUCILO TRADING ENTERPRISE,Masks: Surgical,900000.00,60000
Department of Defence (DoD), Mulalo Mbidi (Pty) Ltd,Masks: Surgical,519110.00,20000
Department of Defence (DoD), MULTIPLUS TRADING SERVICES CC,Masks: Surgical,777000.00,60000
Department of Defence (DoD), MULTISURGE CC,Masks: Surgical,1196000.00,2600
Department of Defence (DoD), Murunwa Consulting,Masks: Surgical,51938000.00,4120000
Department of Defence (DoD), Murunwa Consulting,Nitrile Gloves,7600000.00,20 000
Department of Defence (DoD), Muswazi Trading and Projects,Masks: Surgical,3500000.00,140 000
Department of Defence (DoD), Muswazi Trading and Projects,Surgical Gloves,2940000.00,8 000
Department of Defence (DoD), MVB Corporations,Surgical Gloves,760000.00,2000
Department of Defence (DoD), Mvuleni IT and all Solutions,Masks: Surgical,625000.00,50 000
Department of Defence (DoD), My Son and the Rest Trading,Masks: Surgical,510000.00,20 000
Department of Defence (DoD), NAMERC CONSULTING,Masks: Surgical,1050000.00,60 000
Department of Defence (DoD), NATIONAL MEDIC AL SUPPLIES,Masks: Surgical,209600.00,7 200
Department of Defence (DoD), NAZINI TRADING ENTERPRISE,Surgical Gloves,937500.00,2500
Department of Defence (DoD), Nazinni,Surgical Gloves,760000.00,2 000
Department of Defence (DoD), NDINAYE TRADING RNTERPRISE,Masks: Surgical,780000.00,60000
Department of Defence (DoD), Ndwalaza Trading T/A Ngoboyi Training Int,Masks: Surgical,451000.00,20 000
Department of Defence (DoD), NEBZA CREATING TRADING,Masks: Surgical,777000.00,60 000
Department of Defence (DoD), NEW AGE MEDIDENT CC,Masks: Surgical,17200.00,400
Department of Defence (DoD), NEW STAR SUPPLY AND SERVICES,Masks: Surgical,891000.00,60 000
Department of Defence (DoD), Ngoboyi Trading (Pty) Ltd,Masks: Surgical,1491000.00,60000
Department of Defence (DoD), Ngosha Investment Pty Ltd,Masks: Surgical,519000.00,20000
Department of Defence (DoD), Ngosha Investment Pty Ltd,Surgical Gloves,760000.00,2 000
Department of Defence (DoD), Nhlamulo Sono Projects,Surgical Gloves,680000.00,2 000
Department of Defence (DoD), Nkeato Trading and Enterprise,Masks: Surgical,519000.00,20 000
Department of Defence (DoD), Nkoma Supply and Projects,Masks: Surgical,1410000.00,60 000
Department of Defence (DoD), Nolo Business Enterprise,Masks: Surgical,900000.00,30 000
Department of Defence (DoD), Novel Initiative,Masks: Surgical,997500.00,50000
Department of Defence (DoD), Nwaxigawuri Trading (Pty) Ltd,Masks: Surgical,900000.00,40 000
Department of Defence (DoD), Nwaxigawuri Trading (Pty) Ltd,Surgical Gloves,760000.00,2 000
Department of Defence (DoD), Nwedzi Business Enterprise,Masks: Surgical,795000.00,30 000
Department of Defence (DoD), NXAXIGAWAWURI TRADING,Masks: Surgical,1074000.00,60000
Department of Defence (DoD), Nyathela Consulting,Masks: Surgical,50461000.00,4042000
Department of Defence (DoD), Nyathela Consulting,Nitrile Gloves,7600000.00,20000
Department of Defence (DoD), OATINU,Masks: Surgical,780000.00,60000
Department of Defence (DoD), ONKATSE TRADING ENTERPRISE,Masks: Surgical,1074000.00,60000
Department of Defence (DoD), OPHUMELELEYO PROJECTS,Masks: Surgical,725000.00,100000
Department of Defence (DoD), ORATENG CONSULTING,Masks: Surgical,780000.00,60 000
Department of Defence (DoD), Oroma Pty Ltd,Masks: Surgical,520000.00,20 000
Department of Defence (DoD), Ostak Trading,Masks: Surgical,4140000.00,160000
Department of Defence (DoD), Pandaries,Masks: Surgical,1075000.00,50 000
Department of Defence (DoD), Parvilor,Masks: Surgical,1019820.00,40000
Department of Defence (DoD), Peloy business Solutions,Masks: Surgical,246000.00,20 000
Department of Defence (DoD), Pendoflash (Pty) Ltd,Masks: Surgical,540000.00,14 000
Department of Defence (DoD), Pendoflash (Pty) Ltd,Sanitisers,80000.00,1 000
Department of Defence (DoD), Pho-Ama Ivestments,Surgical Gloves,716000.00,2000
Department of Defence (DoD), PMM Auto Solutions and Projects (Pty) Ltd,Masks: Surgical,530000.00,20000
Department of Defence (DoD), POSED TRADING & PROJECTS,Masks: Surgical,778800.00,60 000
Department of Defence (DoD), Power Petrolium Distributors,Sanitisers,3869079.00,290600
