Supplier Name,Item Description,Amount,Quantity
DUE VESTRA,Masks: Surgical,750 000,60 000
DUGISH HOLDINGS (PTY) LTD,Masks: Surgical,753000,60000
Dynamic Express Services,Masks: Surgical,186,16
Dynamic Narcotic Awareness (Pty) Ltd,Surgical Gloves,55 080,153
Dyondza Vuswikoti (Pty) Ltd,Surgical Gloves,716 000,2 000
Dzina 10 Trading Pty Ltd,Masks: Surgical,795 000,30 000
Dzina 10 Trading Pty Ltd,Surgical Gloves,1050 000,3 000
Elirose Trading Enterprise( Pty) Ltd,Masks: Surgical,520 000,20 000
Emazweni Designs and Projects (Pty) Ltd,Masks: Surgical,2697000,150000
Enkay Trading,Masks: Surgical,1000 000,40 000
EPS Trading Enterprise,Masks: Surgical,123 000,10 000
EPS Trading Enterprise,Surgical Gloves,760 000,2000
Erob Outstanding Business Solutions,Masks: Surgical,500 000,20 000
Ethels Creation,Masks: Surgical,510 000,20 000
EVER GREEN LATEX PTY LTD,Surgical Gloves,2827024,175900
FACE OF EARTH,Masks: Surgical,750000,60000
FARZWO SUPPLY COMPANY,Masks: Surgical,768000,60000
FIRE FIGHTING LOGISTICS,Protective Clothing,132 983,250
FREE FALL TRADING 1013,Masks: Surgical,756000,60000
FUKUZA SUPPLIES AND PROJECTS,Masks: Surgical,777 000,60 000
FUTURE ADVERTISING AND MARKETI,Protective Clothing,426 275,6995
Futurenett Supplies and Projects 125 (Pty) Ltd,Masks: Surgical,530000,20000
Gabsie Business Solutions,Surgical Gloves,122 500,200
GABSIE'S BUSINESS SOLUTIONS,Masks: Surgical,1080 000,60 000
GIBELA TRADE INVESTMENTS 1001,Masks: Oxygen,122 958,14 850
Give Me Four Trading And Projects 104cc,Masks: Surgical,2070000,100000
Give Me Four Trading And Projects 104cc,Surgical Gloves,1474 000,4000
Glentro Pty Ltd,Masks: Surgical,530000,20000
Gontse GK Trading,Masks: Surgical,123000,10000
Grade to Pride Trading Enterprise (Pty) Ltd,Masks: Surgical,795 000,30000
Grande Moison Great Havest,Masks: Surgical,520 000,20 000
Grande Moison Great Havest,Surgical Gloves,760 000,2 000
Great's Space Trading and Projects,Masks: Surgical,123 000,10 000
Greenleaf Real Estate,Masks: Surgical,630 000,21000
Greenleaf Real Estate,Surgical Gloves,171 000,450
Grinland Enviro (Pty) Ltd,Surgical Gloves,912 000,2 400
GWENZIDO,Masks: Surgical,1080000,60000
HELIX MARINE,Surgical Gloves,937 500,2500
Hlakaro Trading Enterprise,Masks: Surgical,530 000,20 000
Hlatswayo Tech (Pty) Ltd,Masks: Surgical,530000,20000
HLCB Holdings,Masks: Surgical,9230500,340000
Hlongie Trading Enterprise cc,Masks: Surgical,2334500,149000
Hlongie Trading Enterprise cc,Surgical Gloves,1520000,4000
HMW003 TRADING AND PROJECTS,Masks: Surgical,780000,60000
Hunadi and Monare Trading cc,Masks: Surgical,1125 000,50 000
HWK SUPPLY AND PROJECTS,Masks: Surgical,1050 000,60 000
Iconsult and Projects,Masks: Surgical,625 000,50 000
IDNAS FORENSICS (PTY) LTD,Masks: Surgical,1934000,100000
IDNAS FORENSICS (PTY) LTD,Surgical Gloves,1520 000,4000
IKO Trading and Projects,Masks: Surgical,520 000,20 000
IKO Trading and Projects,Surgical Gloves,760 000,2 000
Imonti Tours,Masks: Surgical,1457500,50000
Imperatriz (Pty) Ltd,Masks: Surgical,992 500,50 000
Insika Foundation,Masks: Surgical,6514600,286000
Insika Foundation,Hand Scanners,3 465 000,1000
Intellectual Rest,Surgical Gloves,746 496,2100
IVUKOSI,Masks: Surgical,894000,60000
Jakes ans Sons Holdings,Masks: Surgical,123 000,10 000
Janicol,Masks: Surgical,795 000,30 000
JC OFFICE SUPPLIES CC,Masks: Surgical,7950000,120000
Jenesis Trading,Surgical Gloves,760 000,2 000
Jin Production and Events Management,Masks: Surgical,123 000,10 000
K & J Endeavour,Masks: Surgical,1120000,40000
Kamoge Dion Trading,Masks: Surgical,123000,10000
KANYANE & MOKGOSHI,Masks: Surgical,870 000,60 000
Katshimong Pty Ltd,Masks: Surgical,123 000,10 000
KD Neo,Masks: Surgical,123000,10000
KEINGTON TRADING ENTERPRISE (PTY) LTD,Masks: Surgical,771 600,60 000
Kevcon Projects,Surgical Gloves,760 000,2000
Kgoadi Moeketsane Engineering,Surgical Gloves,545 400,1515
KGOHLWEDI,Surgical Gloves,39 323,48
Kgorosh Investment cc,Masks: Surgical,500 000,20 000
Kgoroyabohle Trading,Masks: Surgical,1920 000,80 000
KHAITSE MEDICALS SUPPLIERS,Surgical Gloves,3 348,20
KHANYENG TRADING AND PROJECTS,Protective Clothing,91000,70000
Khathavahle Trading and Projects,Surgical Gloves,950 000,2500
KHN,Sanitisers,170 000,2 000
KLK Projects,Masks: Surgical,538 000,20 000
Kompese Trading Enterprise,Masks: Surgical,520 000,20 000
Kompese Trading Enterprise,Surgical Gloves,760 000,2000
Kravisize,Sanitisers,3 000 004,37 812
KRG Holdings,Surgical Gloves,795 000,2100
KTN DEVELOPMENT,Masks: Surgical,1080 000,60 000
Kutlwano Ya Lebogo Trading & Projects,Masks: Surgical,1590 000,60 000
Kwena Lesedi Trading and Projects,Masks: Surgical,510 000,20 000
LABOHLANO TRADING 108,Masks: Surgical,777 000,60 000
LABSTYRES (PTY) LTD,Masks: Surgical,893550,60000
LADY M TRAVELLING AGENCY,Masks: Surgical,972000,60000
Langalibalele General Trading,Masks: Surgical,750 000,60 000
Langalibalele General Trading,Surgical Gloves,69 900,200
LASEC SA,Surgical Gloves,62077,450
Le Boon Supply cc,Masks: Surgical,1250000,100000
Leano Consotium,Masks: Surgical,520 000,20 000
Lebrac Innovative Logic,Surgical Gloves,716 000,2 000
LECHOBA MEDICAL TECHNOLOGIES,Protective Clothing,2629360,10000
LECHOBA MEDICAL TECHNOLOGIES,Sanitisers,1480000,40000
Leemash Catering,Masks: Surgical,1315 000,50 000
Lehumo Technologies,Masks: Surgical,59000,2 360
LEKGAMAKGADI (PTY) LTD,Masks: Surgical,894000,60000
Leo Fluelogististix (Pty) Ltd,Empty Bottles,7500,500
Lepeke Medical Suppliers Pty Ltd,Masks: Surgical,530 000,20 000
Lerato and Moloko Event Management,Masks: Surgical,520000,20 000
Lesole Facilities Management (Pty) Ltd,Masks: Surgical,975 000,50 000
Letlhakele Trading and Projects,Masks: Surgical,123 000,10 000
LETSEPE MEDICAL SERVICES,Masks: Surgical,1020000,60000
LIFE STYLE PROPERTIES,Masks: Surgical,885000,60000
LIORA MEDICAL SUPPLIES,Masks: Medical,2 118 600,3 600
LIORA MEDICAL SUPPLIES,Masks: Surgical,224 700,42 000
Liquids,Masks: Surgical,123 000,10 000
LN ENGINEERING AND SUPPLY,Masks: Surgical,889 200,60 000
LOGAN MEDICAL SURGICAL CC,Protective Clothing,506650,26000
LOVE DIDI M,Masks: Surgical,894 000,60 000
Lungolwakho Trading and Enterprise,Masks: Surgical,519 000,20 000
Luthanya Business Enterprise cc,Masks: Surgical,2088000,100000
Luthanya Business Enterprise cc,Surgical Gloves,1472 000,4000
LUYANDUHLANGA,Masks: Surgical,750000,60000
Maatla Concrete Products,Masks: Surgical,1040000,40000
Maatla Concrete Products,Surgical Gloves,716 000,2 000
MABA AFRICA,Protective Clothing,1976171,8 409
MABA AFRICA,Sanitisers,1271 702,51400
MABASA TRADING CC,Masks: Surgical,777 000,60 000
MABASA TRADING CC,Surgical Gloves,1476 000,4000
MADENDELE CONSULTING,Masks: Surgical,777000,60000
Maduma Go Tlola Trading Enterprise,Surgical Gloves,304 000,800
Madzunika Trading and IT Solutions,Surgical Gloves,760 000,2 000
MAHLATSI CONSTRUCTION & PROJECTS,Masks: Surgical,894000,60000
Majodina Group (Pty) Ltd,Sanitisers,7935,100
Majodina Group (Pty) Ltd,Surgical Gloves,684 917,1940
Malalu Construction,Masks: Surgical,123 000,10 000
Malude Industries,Surgical Gloves,760 000,2000
Malyim Pty Ltd,Masks: Surgical,795000,30000
Mamasai Trading Enterprise,Masks: Surgical,1495000,79000
Mamasai Trading Enterprise,Surgical Gloves,756 000,2 000
Mamoratwa Enterprise Bookshop,Masks: Surgical,520 000,20 000
MANAKELLY (PTY) LTD,Masks: Surgical,774000,60000
MANCHAP PROPERTIES AND PROJECTS,Masks: Surgical,882000,60000
MANDLAKOMOYA TRADING AND PROJECTS,Masks: Surgical,777000,60000
Manyonyo Projects Enterprice (Beetse),Masks: Surgical,4503944,200800
Maps in Transaction (Pty) Ltd,Masks: Surgical,300 000,10 000
Maps in Transaction (Pty) Ltd,Surgical Gloves,38 000,100
Mapunya Trading,Surgical Gloves,570 000,1500
Martha and Sons Trading and Projects,Masks: Surgical,2106000,100000
Martha and Sons Trading and Projects,Surgical Gloves,760 000,2000
Mashishane Business Enterprise,Surgical Gloves,760 000,2000
Mavuba Legacy,Masks: Surgical,37200000,3000000
Mawika Trading and Projects,Masks: Surgical,123 000,10 000
Maxisana Trading cc,Masks: Surgical,530 000,20 000
Mbanga Trading Enterprise,Masks: Surgical,1000 000,50 000
Mbeu Properties,Surgical Gloves,760 000,2 000
MBV Corporations (Pty) Ltd,Masks: Surgical,500 000,20 000
MDZ Fleet Solutions,Masks: Surgical,75 000,2500
MDZ Holdings,Sanitisers,601 600,3 100
Mechanir,Surgical Gloves,760 000,2 000
MEDICAL INTERNATIONAL ORTHOPAE,Protective Clothing,218 837,11380
MEDTEX,Surgical Gloves,128 640,3 000
MENLYVERT,Masks: Surgical,1079 400,60 000
Mercy Seat Projects,Masks: Surgical,123 000,10 000
Mgigade Holdings (Pty) Ltd,Masks: Surgical,510 000,20 000
MIA and PK Trading Projects (Pty) Ltd,Masks: Surgical,520 000,20 000
MIA and PK Trading Projects (Pty) Ltd,Surgical Gloves,620 000,1772
MILANI,Masks: Surgical,108 000,60 000
MILONI SERVICES,Masks: Surgical,777 000,60 000
Mimizar Consulting,Masks: Surgical,1080 800,60 000
Mimizar Consulting,Surgical Gloves,760 000,2 000
Mirandaanel Trading Enterprise,Surgical Gloves,760 000,2 000
MIXO AND OUPA CONSTRUCTION & PROJECTS,Masks: Surgical,774 000,60 000
Mmadilebogeng Trading,Masks: Surgical,123 000,10 000
Mmakosha Kekana Consulting,Masks: Surgical,123 000,10 000
Mmamorena Thapelong (Pty) Ltd,Masks: Surgical,2 072 000,80 000
Mmamorena Thapelong (Pty) Ltd,Surgical Gloves,760 000,2 000
MMAPHEFO MALAHLELA DEV PROJ (PTY) LTD,Surgical Gloves,2 240 000,6 000
MMIH Mac Moleli Investment Holdings,Masks: Surgical,500 000,20 000
MMND ENGINEERING,Masks: Surgical,888 000,60 000
MN Group (Pty) Ltd,Masks: Surgical,8 300 500,300 000
Mngezi Group,Surgical Gloves,760 000,2 000
Mof Trading,Masks: Surgical,720 000,12 000
Mogorona O Teng,Surgical Gloves,760 000,2 000
Mojere Construction,Masks: Surgical,2 100 000,100 000
MOKGATSHELWA TRADING,Masks: Surgical,1 080 000,60 000
Mont Garge Projects,Masks: Surgical,747 000,60 000
Mont Garge Projects,Surgical Gloves,760 000,2 000
Moraka Wa Lesana Enterprise,Masks: Surgical,530 000,20 000
Moreje Construction,Masks: Surgical,1680 000,80 000
Morumbi Trading and Projects,Surgical Gloves,760 000,2 000
MORUWANE TRADING & PROJECTS (PTY) LTD,Masks: Surgical,780 000,60 000
Morwamokuru Trading,Surgical Gloves,33 352,93
Mosadi Mokgabo,Masks: Surgical,795 000,30 000
Motswaledi Moeketsi,Masks: Surgical,123 000,10 000
MPAFANE PRIMARY CO-OPERATIVE,Masks: Surgical,777 000,60 000
MPAHLA YAMI TRADING AND PROJECTS,Masks: Surgical,780 000,60 000
Mphela Kanyane Holdings,Masks: Surgical,2120000,80 000
Mphuma Supply and Services,Masks: Surgical,530 000,20 000
MR FIRST AID,Surgical Gloves,51599,600
Ms Makgoba Transport,Masks: Surgical,123 000,10 000
Mtimande Logistics Consultant (Pty) Ltd,Masks: Surgical,750 000,60 000
Mtimande Logistics Consultant (Pty) Ltd,Hand Scanners,381150,100
Mtsetweni Vukosi,Surgical Gloves,760 000,2 000
MUCILO TRADING ENTERPRISE,Masks: Surgical,900000,60000
Mulalo Mbidi (Pty) Ltd,Masks: Surgical,519110,20000
MULTIPLUS TRADING SERVICES CC,Masks: Surgical,777000,60000
MULTISURGE CC,Masks: Surgical,1 196 000,2600
Murunwa Consulting,Masks: Surgical,51938000,4120000
Murunwa Consulting,Nitrile Gloves,7 600 000,20 000
Muswazi Trading and Projects,Masks: Surgical,3 500 000,140 000
Muswazi Trading and Projects,Surgical Gloves,2 940 000,8 000
MVB Corporations,Surgical Gloves,760 000,2000
Mvuleni IT and all Solutions,Masks: Surgical,625 000,50 000
My Son and the Rest Trading,Masks: Surgical,510 000,20 000
NAMERC CONSULTING,Masks: Surgical,1050 000,60 000
NATIONAL MEDIC AL SUPPLIES,Masks: Surgical,209 600,7 200
NAZINI TRADING ENTERPRISE,Surgical Gloves,937 500,2500
Nazinni,Surgical Gloves,760 000,2 000
NDINAYE TRADING RNTERPRISE,Masks: Surgical,780000,60000
Ndwalaza Trading T/A Ngoboyi Training Int,Masks: Surgical,451000,20 000
NEBZA CREATING TRADING,Masks: Surgical,777 000,60 000
NEW AGE MEDIDENT CC,Masks: Surgical,17 200,400
NEW STAR SUPPLY AND SERVICES,Masks: Surgical,891 000,60 000
Ngoboyi Trading (Pty) Ltd,Masks: Surgical,1491000,60000
Ngosha Investment Pty Ltd,Masks: Surgical,519000,20000
Ngosha Investment Pty Ltd,Surgical Gloves,760 000,2 000
Nhlamulo Sono Projects,Surgical Gloves,680 000,2 000
Nkeato Trading and Enterprise,Masks: Surgical,519 000,20 000
Nkoma Supply and Projects,Masks: Surgical,1410 000,60 000
Nolo Business Enterprise,Masks: Surgical,900 000,30 000
Novel Initiative,Masks: Surgical,997500,50000
Nwaxigawuri Trading (Pty) Ltd,Masks: Surgical,900 000,40 000
Nwaxigawuri Trading (Pty) Ltd,Surgical Gloves,760 000,2 000
Nwedzi Business Enterprise,Masks: Surgical,795 000,30 000
NXAXIGAWAWURI TRADING,Masks: Surgical,1074000,60000
Nyathela Consulting,Masks: Surgical,50461000,4042000
Nyathela Consulting,Nitrile Gloves,7600000,20000
OATINU,Masks: Surgical,780000,60000
ONKATSE TRADING ENTERPRISE,Masks: Surgical,1074000,60000
OPHUMELELEYO PROJECTS,Masks: Surgical,725000,100000
ORATENG CONSULTING,Masks: Surgical,780 000,60 000
Oroma Pty Ltd,Masks: Surgical,520 000,20 000
Ostak Trading,Masks: Surgical,4140000,160000
Pandaries,Masks: Surgical,1075 000,50 000
Parvilor,Masks: Surgical,1019820,40000
Peloy business Solutions,Masks: Surgical,246 000,20 000
Pendoflash (Pty) Ltd,Masks: Surgical,540 000,14 000
Pendoflash (Pty) Ltd,Sanitisers,80 000,1 000
Pho-Ama Ivestments,Surgical Gloves,716 000,2000
PMM Auto Solutions and Projects (Pty) Ltd,Masks: Surgical,530000,20000
POSED TRADING & PROJECTS,Masks: Surgical,778 800,60 000
Power Petrolium Distributors,Sanitisers,3869079,290600
Power Petrolium Distributors,Surgical Gloves,760 000,2 000
PRECIOUS STONE,Masks: Surgical,771600,60 000
Projects by Bella,Masks: Surgical,1145 000,70 000
PROMED TECHNOLOGIES,Protective Clothing,855 915,40 500
PROMED TECHNOLOGIES,Surgical Gloves,308 320,6 700
PT Medical Supplies,Sanitisers,240 000,3 000
PT Medical Supplies,Surgical Gloves,311335,877
Puleng Development cc,Masks: Surgical,400 000,20 000
PVMT Trading and Project,Masks: Surgical,15 000,500
PVMT Trading and Project,Surgical Gloves,161120,424
Qobolibomvu Investments,Masks: Surgical,520000,20000
Qobolibomvu Investments,Surgical Gloves,760 000,2 000
QUALITY MEDICAL SUPPLIES,Masks: Surgical,310 500,600
QUARTZ FILE (PTY) LTD,Masks: Surgical,880000,41000
QUICKWAREHOUSE AND PROJECTS,Masks: Surgical,779400,60000
RADIMPE TRADING AGENCY,Masks: Surgical,1050 000,60 000
RADIMPE TRADING AGENCY,Sanitisers,320 000,4000
Ramata Trading and Projects,Masks: Surgical,123 000,10 000
Ranzi Resourcing,Masks: Surgical,3240000,120000
Ravha Trading Enterprise,Masks: Surgical,625 000,50 000
Raw Chemical Detergent,Surgical Gloves,71400,200
RE TSHEPEGILE PROJECTS,Surgical Gloves,937 500,2500
REAKUTU TRADING ENTERPRISE,Masks: Surgical,750000,60000
Rebcom Holding (Pty) Ltd,Surgical Gloves,1 400 000,4000
Regalo Group,Masks: Surgical,1020 000,40 000
RELIABLE DIAGNOSTIC SUPPLIES,Protective Clothing,301 875,350
REVO SUPPLY AND SERVICES,Masks: Surgical,771000,60 000
Reya Thusa Trading Enerprise,Masks: Surgical,1575 000,60 000
Rising Star Trading and Projects,Surgical Gloves,1520000,4000
RMU,Surgical Gloves,7 100,20
Ropad Tools,Surgical Gloves,760 000,2000
Roxports (Pty) Ltd,Masks: Surgical,3780000,180000
RPF Group,Masks: Surgical,480000,20000
S A HEALTH PROTECTING SERVICES,Protective Clothing,13165200,12000
S AND EXCELLENT TRADING (PTY)LTD,Masks: Surgical,750 000,60 000
S AND EXCELLENT TRADING (PTY)LTD,Surgical Gloves,760 000,2000
SAETRA HEALTH SOLUTIONS,Protective Clothing,239 464,1848
SAFARMEX PTY LTD,Surgical Gloves,13 740,200
Salusise Medical Supplies,Surgical Gloves,760 000,2 000
SANDAMELI INVESTMENT,Surgical Gloves,937 500,2500
SENZENI CORNER (PTY)LTD,Masks: Surgical,780000,60000
Sepekepeke Trading (Pty) Ltd,Masks: Surgical,2 060 000,80 000
Sepekepeke Trading (Pty) Ltd,Surgical Gloves,2 236 000,6 000
Shaphu's Catering and Construction cc,Masks: Surgical,530 000,20 000
Shawnways (Pty) Ltd,Masks: Surgical,1920 000,80 000
Shayela Trading,Masks: Surgical,820000,120000
SINAFUTHI GROUP,Masks: Surgical,750000,60000
SIS ENTERTAINMENT,Masks: Medical,34 460,10
Slager Enterprise,Masks: Surgical,123 000,10 000
Sothami Projects and Trading,Masks: Surgical,123 000,10 000
Spekepeke Trading (Pty) Ltd,Surgical Gloves,716 000,2 000
Stan Consolidated Supplies,Surgical Gloves,760 000,2 000
Star Finder Properties cc,Masks: Surgical,450 000,15 000
SUPRA HEALTHCARE JOHANNESBURG,Masks: Medical,975 000,65
SUPRA HEALTHCARE JOHANNESBURG,Masks: Surgical,971750,2 600
SUPRA HEALTHCARE JOHANNESBURG,Protective Clothing,307 050,3 300
T MAC MEDICAL,Masks: Surgical,894 000,60 000
TAILOR MADE GROUP OF COMPANY,Surgical Gloves,737 500,2500
TARA TECHNOLOGIES,Sanitisers,492 500,5 000
TEMRO GROUP (PTY) LTD,Masks: Surgical,762000,60000
Thamsie Siphiwe Trading cc,Masks: Surgical,500000,20000
Thando and Tselane Trading,Masks: Surgical,510 000,20 000
THE BRAVEST TRADING ENTERPRISE (PTY)LTD,Surgical Gloves,937 500,2500
THE DENTAL WAREHOUSE,Masks: Surgical,12 366,70
THE DENTAL WAREHOUSE,Protective Clothing,19 746,300
THE HELP COMPANY,Masks: Surgical,894000,60000
The Mat Group,Masks: Surgical,1020000,40000
THE MAT GROUP (PTY) LTD,Masks: Surgical,744000,60000
Thoblicians,Masks: Surgical,123 000,10 000
Tiisetso Tsotetsi,Surgical Gloves,504 000,1400
Tiiso Holdings,Sanitisers,89 700,1150
Tiiso Holdings,Surgical Gloves,39520,104
Tintholo,Masks: Surgical,123 000,10 000
Tintholo,Surgical Gloves,760 000,2 000
Tintswalo Security and Projects,Surgical Gloves,760 000,2000
Tiyeka Media,Masks: Surgical,500000,20000
TK JOY 20 (PTY) LTD,Masks: Surgical,530000,20000
TK JOY 20 (PTY) LTD,Surgical Gloves,1035 000,3 000
TK SN trading and Projects,Masks: Surgical,123 000,10 000
Tihapaneng Trading,Masks: Surgical,123 000,10 000
TLHAPI ZIZI (PTY) LTD,Surgical Gloves,777000,60 000
Tloloki Trading,Masks: Surgical,1500 000,50 000
Tloloki Trading,Masks: Surgical,Surgical Gloves,1460 000,4000
TM Tiyeka Media,Masks: Surgical,500 000,20 000
TPR Holdings,Masks: Surgical,123000,10000
TR Group (Pty) Ltd,Masks: Surgical,1337 038,85 443
Traros (Pty) Ltd,Masks: Surgical,1300000,50000
TS Entity Pty Ltd,Masks: Surgical,123 000,10 000
Tsakzo Trading,Masks: Surgical,625000,50000
Tsana MPK Trading,Surgical Gloves,760 000,2 000
Tshenolo Waste,Masks: Surgical,500000,20000
TTM TRADING AND PROJECTS,Sanitisers,276 000,3 000
TTM TRADING AND PROJECTS,Surgical Gloves,2 487 180,6 737
Tutone Communications,Sanitisers,5000680,63 020
UMNDENI MEDICAL CC,Masks: Medical,84 784,7500
UMNDENI MEDICAL CC,Masks: Oxygen,79 288,6 750
UMNDENI MEDICAL CC,Masks: Surgical,98 131,9500
Umohlobo IT Projects,Masks: Surgical,1000000,40000
UNITRADE 1032,Protective Clothing,264600,14700
Unomhlobo IT Projects,Masks: Surgical,1635000,90000
Urban City Projects,Masks: Surgical,460 000,20 000
VELEPA TRADING CC,Masks: Surgical,777 000,60 000
VELEPA TRADING CC,Protective Clothing,2 760 000,5 750
Velvel and Solutions,Masks: Surgical,123 000,10 000
Vhoyo,Surgical Gloves,710 000,2000
Vhusa Group (Pty) Ltd,Masks: Surgical,480 000,20 000
Vhuthu Pty (Ltd),Masks: Surgical,2522000,150000
Vhuthu Pty (Ltd),Surgical Gloves,760 000,2 000
Vhuyo Consulting,Masks: Surgical,1672000,110000
Vhuyo Consulting,Surgical Gloves,760 000,2 000
Vibrant Medical Supplies,Empty Bottles,117 504,3 962
Vibrant Medical Supplies,Masks: Surgical,550 000,21 000
Vibrant Medical Supplies,Surgical Gloves,818 600,2 320
